Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.capes
ADMINISTRAÇÃO,40006018044P2,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR,3,-,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,32005016070P4,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,3,-,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,33002037025P3,ESCOLA SUPERIOR DE AGRICULTURA LUIZ DE QUEIROZ - USP,USP-ESALQ,SP,4,-,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,23004010008P5,UNIVERSIDADE POTIGUAR,UNP,RN,4,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,41007018006P2,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,SC,-,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,33003025005P3,"UNIVERSIDADE ESTADUAL DE CAMPINAS, LIMEIRA",UNICAMP-LI,SP,4,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,24009016172P4,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,3,-,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,41009010003P6,UNIVERSIDADE DO CONTESTADO,UNC,SC,-,-,A,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,42041015011P8,UNIVERSIDADE FEEVALE,FEEVALE,RS,A,-,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,23003014074P1,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,RN,A,-,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,15001016169P7,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,A,-,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,32045018002P6,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",IFMG,MG,-,-,A,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,33001014076P0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,A,-,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,15004015005P3,UNIVERSIDADE DA AMAZÔNIA,UNAMA,PA,4,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,22003010013P0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,CE,4,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,23001011007P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,4,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,23004010002P7,UNIVERSIDADE POTIGUAR,UNP,RN,-,-,4,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,24001015017P8,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,4,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,25001019046P0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,4,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,25001019078P0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,-,-,3,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,27001016038P3,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,3,-,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,28001010020P3,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,5,5,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,28001010052P2,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,-,-,4,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,28013018004P9,UNIVERSIDADE SALVADOR,UNIFACS,BA,4,-,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,30001013015P2,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,30007011002P6,FUNDAÇÃO INSTITUTO CAPIXABA DE PESQUISA EM CONTABILIDADE ECONOMIA E FINANÇAS,FUCAPE,ES,-,-,4,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,31001017062P3,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,31011012004P5,FUNDAÇÃO GETÚLIO VARGAS,FGV,RJ,7,7,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,31011012011P1,FUNDAÇÃO GETÚLIO VARGAS,FGV,RJ,-,-,5,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,31034012001P9,FACULDADE DE ECONOMIA E FINANÇAS DO IBMEC,IBMEC,RJ,-,-,4,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,31035019002P1,UNIVERSIDADE DO GRANDE RIO - PROFESSOR JOSE DE SOUZA HERDY,UNIGRANRIO,RJ,5,5,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,32001010026P0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,4,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,32002017029P5,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,4,4,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
ADMINISTRAÇÃO,32004010003P2,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,5,5,-,-,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO"
