Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 ANTROPOLOGIA SOCIAL,26001012082P0,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,3,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
 ANTROPOLOGIA SOCIAL,13001019039P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,RR,3,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA,31003010031P7,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,5,5,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA,32001010072P1,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,4,4,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA,53001010010P9,UNIVERSIDADE DE BRASÍLIA,UNB,DF,7,7,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA,21001014017P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,3,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA,22001018171P1,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,CE,3,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA,15001016060P5,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,5,5,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA,25001019013P5,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,5,5,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA,27001016026P5,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,3,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA,28001010058P0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,ANTROPOLOGIA / ARQUEOLOGIA
Antropologia,24001015060P0,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,4,4,-,-,ANTROPOLOGIA / ARQUEOLOGIA
Antropologia,42003016045P5,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,4,4,-,-,ANTROPOLOGIA / ARQUEOLOGIA
Antropologia,51005018013P4,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MS,3,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
Antropologia e Arqueologia,40001016027P9,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,4,4,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA SOCIAL,33001014023P3,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,5,5,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA SOCIAL,31001017021P5,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,7,7,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA SOCIAL,23001011037P6,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,5,5,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA SOCIAL,12001015029P2,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,4,4,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA SOCIAL,33003017016P0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,5,5,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA SOCIAL,52001016043P8,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,4,4,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA SOCIAL,42001013034P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,6,6,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA SOCIAL,41001010017P0,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,5,5,-,-,ANTROPOLOGIA / ARQUEOLOGIA
Antropologia Social,50001019037P2,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,3,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ANTROPOLOGIA SOCIAL ,51001012174P2,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,3,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ARQUEOLOGIA,31001017125P5,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,4,4,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ARQUEOLOGIA,25001019059P5,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,5,5,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ARQUEOLOGIA,33002010151P8,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ARQUEOLOGIA,25020013043P9,UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,PE,A,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
Arqueologia,21001014032P9,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,3,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
Arqueologia,27001016033P1,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,4,4,-,-,ANTROPOLOGIA / ARQUEOLOGIA
ARQUEOLOGIA E PATRIMÔNIO CULTURAL,28022017013P3,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,BA,A,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
Cartografia Social e Política da Amazônia,20002017007P8,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,MA,3,-,-,-,ANTROPOLOGIA / ARQUEOLOGIA
CIÊNCIA SOCIAL (ANTROPOLOGIA SOCIAL),33002010029P8,UNIVERSIDADE DE SÃO PAULO,USP,SP,6,6,-,-,ANTROPOLOGIA / ARQUEOLOGIA
