Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
Ambiente Construído,32005016029P4,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,4,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA,31001017088P2,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA,42001013049P8,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA,33248010001P0,CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,FEBASP,SP,-,-,3,-,"ARQUITETURA, URBANISMO E DESIGN"
Arquitetura,31005012039P7,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,3,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA  E URBANISMO,23001011024P1,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E CIDADE,30011019103P0,UNIVERSIDADE VILA VELHA,UVV,ES,3,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,24001015052P8,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,28001010019P5,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,30001013030P1,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,31003010052P4,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,32001010049P0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,6,6,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,32002017039P0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,33002010097P3,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,33002045014P7,"UNIVERSIDADE DE SÃO PAULO, SÃO CARLOS",USP-SC,SP,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,33024014020P7,UNIVERSIDADE PRESBITERIANA MACKENZIE,UPM,SP,6,6,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,33072019003P1,UNIVERSIDADE SÃO JUDAS TADEU,USJT,SP,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,41001010048P2,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,5,5,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,42003016032P0,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,4,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,53001010042P8,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,42051010003P7,FACULDADE MERIDIONAL,IMED,RS,3,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,53005015003P4,CENTRO UNIVERSITÁRIO DE BRASÍLIA,UNICEUB,DF,3,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,33020019007P5,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,SP,-,-,A,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO,50014013001P9,CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE,UNIVAG,MT,A,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
Arquitetura e Urbanismo,15001016063P4,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
Arquitetura e Urbanismo,42007011032P6,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS,-,-,4,-,"ARQUITETURA, URBANISMO E DESIGN"
Arquitetura e Urbanismo,33004056090P3,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BAURU",UNESP-BAURU,SP,4,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
Arquitetura e Urbanismo,42043018004P4,CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,RS,4,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
Arquitetura e Urbanismo,40004015037P3,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,4,4,-,-,"ARQUITETURA, URBANISMO E DESIGN"
Arquitetura e Urbanismo,33006016010P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUCCAMP,SP,5,5,-,-,"ARQUITETURA, URBANISMO E DESIGN"
Arquitetura e Urbanismo,32006012036P7,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,3,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO E DESIGN,22001018084P1,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,3,-,-,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA E URBANISMO (PPGAU-IFF),31040012004P4,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IFF,RJ,-,-,A,-,"ARQUITETURA, URBANISMO E DESIGN"
ARQUITETURA PAISAGÍSTICA,31001017142P7,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,4,-,"ARQUITETURA, URBANISMO E DESIGN"
