Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
ARTE E CULTURA VISUAL,52001016024P3,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,4,4,-,-,ARTES
ARTES,33004013063P4,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - SEDE,UNESP-REITORIA,SP,5,5,-,-,ARTES
ARTES,22008012075P7,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,CE,-,-,3,-,ARTES
ARTES,32025017003P9,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MG,4,-,-,-,ARTES
ARTES,30001013024P1,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,3,-,-,-,ARTES
ARTES,15001016055P1,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,ARTES
ARTES,31004016039P0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,ARTES
ARTES,40076016006P6,UNIVERSIDADE ESTADUAL DO PARANÁ,UNESPAR,PR,-,-,A,-,ARTES
ARTES,32001010051P4,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,6,6,-,-,ARTES
ARTES,35009004001P0,ESCOLA SUPERIOR DE ARTES CÉLIA HELENA,ESCH,SP,-,-,3,-,ARTES
Artes,22001018078P1,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,3,-,-,-,ARTES
ARTES CÊNICAS,33002010200P9,UNIVERSIDADE DE SÃO PAULO,USP,SP,6,6,-,-,ARTES
ARTES CÊNICAS,31021018003P0,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,5,5,-,-,ARTES
ARTES CÊNICAS,28001010035P0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,6,6,-,-,ARTES
ARTES CÊNICAS,11001011075P1,UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC,A,-,-,-,ARTES
ARTES CÊNICAS,23001011044P2,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,-,-,-,ARTES
ARTES CÊNICAS,32018010042P1,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,UFSJ,MG,3,-,-,-,ARTES
ARTES CÊNICAS,32006012075P2,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,3,-,-,-,ARTES
ARTES CÊNICAS,42001013093P7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,4,4,-,-,ARTES
Artes Cênicas,53001010103P7,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,ARTES
Artes Cênicas,32007019028P0,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,3,-,-,-,ARTES
"ARTES, CULTURA E LINGUAGENS",32005016038P3,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,4,4,-,-,ARTES
ARTES DA CENA,52001016108P2,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,A,-,-,-,ARTES
ARTES DA CENA,33003017094P0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,5,5,-,-,ARTES
Artes da Cena,31001017157P4,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,4,4,-,-,ARTES
ARTES VISUAIS,42002010037P0,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,4,4,-,-,ARTES
ARTES VISUAIS,41002016010P8,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC,4,4,-,-,ARTES
ARTES VISUAIS,31001017089P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,ARTES
ARTES VISUAIS,28001010030P9,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,ARTES
ARTES VISUAIS,33002010198P4,UNIVERSIDADE DE SÃO PAULO,USP,SP,6,6,-,-,ARTES
ARTES VISUAIS,42001013055P8,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,5,5,-,-,ARTES
ARTES VISUAIS,53001010040P5,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,ARTES
ARTES VISUAIS,33003017093P4,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,4,4,-,-,ARTES
Artes Visuais,42003016044P9,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,3,-,-,-,ARTES
ARTES VISUAIS (UFPB J.P. - UFPE),24001015056P3,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,3,-,-,-,ARTES
CINEMA E ARTES DO VÍDEO,40076016004P3,UNIVERSIDADE ESTADUAL DO PARANÁ,UNESPAR,PR,A,-,-,-,ARTES
"COMPUTAÇÃO, COMUNICAÇÃO E ARTES",24001015078P7,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,3,-,-,-,ARTES
DANÇA,31001017175P2,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,A,-,-,-,ARTES
DANÇA,28001010174P0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,-,-,A,-,ARTES
DANÇA,28001010054P5,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,ARTES
DANÇA NA CONTEMPORANEIDADE,33313008001P0,FACULDADE ANGEL VIANNA,FAV,RJ,-,-,A,-,ARTES
Ensino das Práticas Musicais,31021018024P8,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,-,-,3,-,ARTES
Ensino de Artes Cênicas,31021018020P2,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,-,-,3,-,ARTES
Estudos Contemporaneos das Artes,31003010038P1,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,ARTES
HISTÓRIA DA ARTE,31004016162P7,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,A,A,-,-,ARTES
História da Arte,33009015086P6,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,4,4,-,-,ARTES
MÚSICA,32006012071P7,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,3,-,-,-,ARTES
MÚSICA,31001017170P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,3,-,ARTES
MÚSICA,25001019157P7,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,3,-,-,-,ARTES
MÚSICA,53001010057P5,UNIVERSIDADE DE BRASÍLIA,UNB,DF,3,-,-,-,ARTES
MÚSICA,42001013044P6,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,7,7,-,-,ARTES
MÚSICA,41002016014P3,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC,4,4,-,-,ARTES
MÚSICA,40001016055P2,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,4,4,-,-,ARTES
MÚSICA,33004013066P3,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - SEDE,UNESP-REITORIA,SP,4,4,-,-,ARTES
MÚSICA,33003017077P9,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,6,6,-,-,ARTES
MÚSICA,33002010203P8,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,ARTES
MÚSICA,32001010058P9,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,5,5,-,-,ARTES
MÚSICA,31021018004P7,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,5,5,-,-,ARTES
MÚSICA,31001017072P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,4,4,-,-,ARTES
MÚSICA,28001010026P1,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,ARTES
MÚSICA,24001015044P5,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,4,4,-,-,ARTES
MÚSICA,32018010047P3,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,UFSJ,MG,A,-,-,-,ARTES
MÚSICA,40076016003P7,UNIVERSIDADE ESTADUAL DO PARANÁ,UNESPAR,PR,A,-,-,-,ARTES
MÚSICA,40004015076P9,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,A,-,-,-,ARTES
Música,28001010092P4,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,-,-,4,-,ARTES
Música,23001011067P2,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,-,-,-,ARTES
PÓS GRADUAÇÃO EM ARTES CÊNICAS,20001010045P0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,A,-,-,-,ARTES
PROFARTES,41002016026P1,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC,-,-,4,-,ARTES
TEATRO,41002016005P4,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC,5,5,-,-,ARTES
