Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
ACÚSTICA SUBMARINA,33305005002P8,INSTITUTO DE ESTUDOS DO MAR ALMIRANTE PAULO MOREIRA,IEAPM,RJ,A,-,-,-,ASTRONOMIA / FÍSICA
ASTROFÍSICA,33010013010P4,INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,INPE,SP,4,4,-,-,ASTRONOMIA / FÍSICA
"ASTROFÍSICA, COSMOLOGIA E GRAVITAÇÃO",30001013105P1,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,-,5,-,-,ASTRONOMIA / FÍSICA
ASTROFÍSICA E FÍSICA COMPUTACIONAL,33052018007P3,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,SP,4,4,-,-,ASTRONOMIA / FÍSICA
ASTRONOMIA,33002010004P5,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,ASTRONOMIA / FÍSICA
ASTRONOMIA,31013015001P9,OBSERVATÓRIO NACIONAL,ON,RJ,6,6,-,-,ASTRONOMIA / FÍSICA
ASTRONOMIA,31001017118P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,4,4,-,-,ASTRONOMIA / FÍSICA
CIÊNCIAS,40005011008P0,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,PR,4,4,-,-,ASTRONOMIA / FÍSICA
Ensino de Física  - PROFIS,33283010001P5,SOCIEDADE BRASILEIRA DE FÍSICA,SBF,SP,-,-,4,-,ASTRONOMIA / FÍSICA
FÍSICA,25001019002P3,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,7,7,-,-,ASTRONOMIA / FÍSICA
FÍSICA,27001016008P7,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,4,4,-,-,ASTRONOMIA / FÍSICA
FÍSICA,28001010002P5,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,3,3,-,-,ASTRONOMIA / FÍSICA
FÍSICA,28007018010P2,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,BA,3,-,-,-,ASTRONOMIA / FÍSICA
FÍSICA,30001013005P7,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,4,-,-,ASTRONOMIA / FÍSICA
FÍSICA,31001017002P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,7,7,-,-,ASTRONOMIA / FÍSICA
FÍSICA,32004010046P3,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,A,-,-,-,ASTRONOMIA / FÍSICA
FÍSICA,31003010002P7,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,6,6,-,-,ASTRONOMIA / FÍSICA
FÍSICA,31004016022P0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,ASTRONOMIA / FÍSICA
FÍSICA,31005012002P6,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,6,6,-,-,ASTRONOMIA / FÍSICA
FÍSICA,31009018001P5,CENTRO BRASILEIRO DE PESQUISAS FÍSICAS,CBPF,RJ,7,7,-,-,ASTRONOMIA / FÍSICA
