Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
AUDITORIA AMBIENTAL,33087016004P1,UNIVERSIDADE SANTA CECÍLIA,UNISANTA,SP,-,-,3,-,BIODIVERSIDADE
Biociências,33004048023P9,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ASSIS",UNESP-ASSIS,SP,4,4,-,-,BIODIVERSIDADE
BIODIVERSIDADE,41006011014P9,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,SC,A,-,-,-,BIODIVERSIDADE
BIODIVERSIDADE,15010015072P9,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,PA,3,-,-,-,BIODIVERSIDADE
Biodiversidade,24001031026P8,"UNIVERSIDADE FEDERAL DA PARAÍBA, AREIA",UFPB-AREIA,PB,3,-,-,-,BIODIVERSIDADE
Biodiversidade,33004153072P6,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, SÃO JOSÉ DO RIO PRETO",UNESP-SJRP,SP,7,7,-,-,BIODIVERSIDADE
BIODIVERSIDADE ANIMAL,42002010026P8,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,4,4,-,-,BIODIVERSIDADE
Biodiversidade Animal,52001016070P5,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,4,4,-,-,BIODIVERSIDADE
BIODIVERSIDADE DE AMBIENTES COSTEIROS,33004161001P7,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, SÃO VICENTE",UNESP-SV,SP,4,4,-,-,BIODIVERSIDADE
Biodiversidade e Biologia Evolutiva,31001017146P2,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,BIODIVERSIDADE
BIODIVERSIDADE E CONSERVAÇÃO,25003011071P8,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,3,-,-,-,BIODIVERSIDADE
BIODIVERSIDADE E CONSERVAÇÃO,52010015104P2,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IFGOIANO,GO,3,-,-,-,BIODIVERSIDADE
BIODIVERSIDADE E CONSERVAÇÃO,20001010012P5,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,3,-,-,-,BIODIVERSIDADE
BIODIVERSIDADE E CONSERVAÇÃO,21001014084P9,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,A,-,-,-,BIODIVERSIDADE
Biodiversidade e Conservação,15001016081P2,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,3,-,-,-,BIODIVERSIDADE
BIODIVERSIDADE E EVOLUÇÃO,15027007039P2,MUSEU PARAENSE EMÍLIO GOELDI,MPEG,PA,4,4,-,-,BIODIVERSIDADE
Biodiversidade e Evolução,28001010065P7,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,BIODIVERSIDADE
Biodiversidade e Meio Ambiente,51005018011P1,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MS,3,-,-,-,BIODIVERSIDADE
Biodiversidade e Saúde,31010016028P5,FUNDAÇÃO OSWALDO CRUZ - FIOCRUZ,FIOCRUZ,RJ,5,5,-,-,BIODIVERSIDADE
Biodiversidade e Uso dos Recursos Naturais,32014015006P0,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG,3,-,-,-,BIODIVERSIDADE
"BIODIVERSIDADE, ECOLOGIA E CONSERVAÇÃO.",16003012006P6,UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,TO,3,-,-,-,BIODIVERSIDADE
BIODIVERSIDADE EM UNIDADES DE CONSERVAÇÃO,31057012002P8,INSTITUTO DE PESQUISA JARDIM BOTÂNICO DO RIO DE JANEIRO,JBRJ,RJ,-,-,4,4,BIODIVERSIDADE
BIODIVERSIDADE MARINHA E COSTEIRA,33009015178P8,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,4,-,-,-,BIODIVERSIDADE
BIODIVERSIDADE NEOTROPICAL,40043010007P8,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,PR,3,-,-,-,BIODIVERSIDADE
BIODIVERSIDADE TROPICAL,14001012003P9,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,AP,4,4,-,-,BIODIVERSIDADE
Biodiversidade Vegetal,28005015010P0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA,3,-,-,-,BIODIVERSIDADE
BIODIVERSIDADE VEGETAL E MEIO AMBIENTE,33120013001P4,INSTITUTO DE BOTANICA,IBT,SP,5,5,-,-,BIODIVERSIDADE
BIOLOGIA,42007011009P4,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS,5,5,-,-,BIODIVERSIDADE
BIOLOGIA AMBIENTAL,15001016030P9,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,BIODIVERSIDADE
BIOLOGIA ANIMAL,42003016053P8,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,3,-,-,-,BIODIVERSIDADE
BIOLOGIA ANIMAL,42001013057P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,5,5,-,-,BIODIVERSIDADE
BIOLOGIA ANIMAL,25001019041P9,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,6,6,-,-,BIODIVERSIDADE
BIOLOGIA ANIMAL,32002017030P3,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,4,4,-,-,BIODIVERSIDADE
BIOLOGIA ANIMAL,31002013012P2,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,4,4,-,-,BIODIVERSIDADE
BIOLOGIA ANIMAL,32010010040P1,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,MG,3,-,-,-,BIODIVERSIDADE
Biologia Animal,51001012029P2,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,3,-,-,-,BIODIVERSIDADE
BIOLOGIA COMPARADA,40004015026P1,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,4,4,-,-,BIODIVERSIDADE
BIOLOGIA COMPARADA,33002029033P0,"UNIVERSIDADE DE SÃO PAULO, RIBEIRÃO PRETO",USP-RP,SP,6,6,-,-,BIODIVERSIDADE
BIOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS,42004012013P2,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,4,4,-,-,BIODIVERSIDADE
BIOLOGIA DE FUNGOS,25001019010P6,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,4,4,-,-,BIODIVERSIDADE
"BIOLOGIA DE FUNGOS, ALGAS E PLANTAS",41001010043P0,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,4,4,-,-,BIODIVERSIDADE
BIOLOGIA DE VERTEBRADOS,32008015008P6,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC/MG,MG,4,4,-,-,BIODIVERSIDADE
BIOLOGIA (ECOLOGIA),12002011003P0,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,INPA,AM,6,6,-,-,BIODIVERSIDADE
BIOLOGIA EVOLUTIVA,40005011011P0,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,PR,3,-,-,-,BIODIVERSIDADE
Biologia Marinha e Ambientes Costeiros,31003010039P8,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,BIODIVERSIDADE
BIOLOGIA VEGETAL,25001019038P8,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,6,6,-,-,BIODIVERSIDADE
BIOLOGIA VEGETAL,31004016055P6,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,4,4,-,-,BIODIVERSIDADE
BIOLOGIA VEGETAL,32001010061P0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,6,6,-,-,BIODIVERSIDADE
BIOLOGIA VEGETAL,32006012029P0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,4,-,-,-,BIODIVERSIDADE
BIOLOGIA VEGETAL,33003017009P3,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,7,7,-,-,BIODIVERSIDADE
BIOLOGIA VEGETAL,51001012018P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,3,-,-,-,BIODIVERSIDADE
BIOLOGIA VEGETAL,50001019176P2,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,A,-,-,-,BIODIVERSIDADE
