Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 PRODUÇÃO VEGETAL,32048017003P1,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO",IFTM,MG,-,-,3,-,CIENCIAS AGRARIAS I
Agricultura Conservacionista,40075010001P1,INSTITUTO AGRONÔMICO DO PARANÁ,IAPAR,PR,3,-,-,-,CIENCIAS AGRARIAS I
AGRICULTURA DE PRECISÂO,42002010048P1,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,-,-,4,-,CIENCIAS AGRARIAS I
AGRICULTURA E AMBIENTE,20002017041P1,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,MA,3,-,-,-,CIENCIAS AGRARIAS I
AGRICULTURA E AMBIENTE,33001014034P5,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,3,-,-,-,CIENCIAS AGRARIAS I
Agricultura e Ambiente,26001012033P9,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,3,-,-,-,CIENCIAS AGRARIAS I
Agricultura e Biodiversidade,27001016049P5,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,4,4,-,-,CIENCIAS AGRARIAS I
AGRICULTURA NO TRÓPICO ÚMIDO,12002011010P6,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,INPA,AM,3,-,-,-,CIENCIAS AGRARIAS I
Agricultura Orgânica,31002013023P4,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,-,-,3,-,CIENCIAS AGRARIAS I
AGRICULTURA SUSTENTÁVEL,32016018005P6,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,MG,-,4,-,-,CIENCIAS AGRARIAS I
AGRICULTURA TROPICAL,50001019002P4,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,5,5,-,-,CIENCIAS AGRARIAS I
AGRICULTURA TROPICAL,30001013042P0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,-,-,-,CIENCIAS AGRARIAS I
AGRICULTURA TROPICAL E SUBTROPICAL,33081018001P4,INSTITUTO AGRONÔMICO,IAC,SP,4,4,-,-,CIENCIAS AGRARIAS I
