Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 Ciência e Tecnologia de Alimentos,50005014001P3,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",IFMT,MT,3,-,-,-,CIÊNCIA DE ALIMENTOS
ALIMENTOS E NUTRIÇÃO,31021018017P1,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,4,4,-,-,CIÊNCIA DE ALIMENTOS
ALIMENTOS E NUTRIÇÃO,33004030055P6,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ARARAQUARA",UNESP-ARAR,SP,4,4,-,-,CIÊNCIA DE ALIMENTOS
ALIMENTOS E NUTRIÇÃO,33003017042P0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,5,5,-,-,CIÊNCIA DE ALIMENTOS
ALIMENTOS E NUTRIÇÃO,21001014020P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,4,4,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA   DE  ALIMENTOS,40004015034P4,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,5,5,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA  DE ALIMENTOS,31001017112P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA DE ALIMENTOS,33003017027P1,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,7,7,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA DE ALIMENTOS,28001010057P4,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,15001016038P0,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,31002013006P2,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,4,4,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,32010010044P7,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,MG,3,-,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,31050018002P3,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,RJ,-,-,3,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,42003016009P9,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,5,5,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,32002017013P1,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,5,5,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,42001013079P4,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,5,5,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,22001018017P2,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,4,4,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,52001016029P5,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,4,4,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,42003016054P4,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,-,-,3,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,40005011007P3,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,PR,4,4,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,33002037015P8,ESCOLA SUPERIOR DE AGRICULTURA LUIZ DE QUEIROZ - USP,USP-ESALQ,SP,4,4,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,41002016164P5,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC,3,-,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,42045010003P0,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS,-,-,A,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,16003012012P6,UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,TO,3,-,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,32082010001P8,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",IFSULDEMINAS,MG,-,-,3,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,41020014010P9,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,SC,3,-,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,27001016016P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,3,-,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,25003011021P0,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,3,-,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,24001015025P0,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,4,4,-,-,CIÊNCIA DE ALIMENTOS
CIÊNCIA E TECNOLOGIA DE ALIMENTOS,51005018171P9,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MS,3,-,-,-,CIÊNCIA DE ALIMENTOS
Ciência e Tecnologia de Alimentos,33299013001P1,INSTITUTO DE TECNOLOGIA DE ALIMENTOS,ITAL,SP,3,-,-,-,CIÊNCIA DE ALIMENTOS
Ciência e Tecnologia de Alimentos,32048017001P9,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO",IFTM,MG,-,-,3,-,CIÊNCIA DE ALIMENTOS
Ciência e Tecnologia de Alimentos,30001013046P5,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,3,-,-,-,CIÊNCIA DE ALIMENTOS
Ciência e Tecnologia de Alimentos,42009014010P5,FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO,FUPF,RS,3,-,-,-,CIÊNCIA DE ALIMENTOS
