Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
CIÊNCIA DA COMPUTAÇÃO,22003010018P1,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,CE,4,4,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,40006018182P6,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR,A,-,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,28001010061P1,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,-,4,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,32002017027P2,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,4,4,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,32006012017P2,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,4,4,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,33001014008P4,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,4,4,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,33002010176P0,UNIVERSIDADE DE SÃO PAULO,USP,SP,6,6,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,33003017005P8,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,7,7,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,33004153073P2,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, SÃO JOSÉ DO RIO PRETO",UNESP-SJRP,SP,4,4,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,40002012033P5,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,3,-,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,40004015019P5,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,4,4,-,-,CIÊNCIA DA COMPUTAÇÃO
CIÊNCIA DA COMPUTAÇÃO,42005019016P8,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUC/RS,RS,6,6,-,-,CIÊNCIA DA COMPUTAÇÃO
