Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
"Artes, Patrimônio e Museologia",21001014033P5,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,-,-,3,-,COMUNICACÃO E INFORMAÇÃO
BIBLIOTECONOMIA,22033017002P3,UNIVERSIDADE FEDERAL DO CARIRI,UFCA,CE,-,-,3,-,COMUNICACÃO E INFORMAÇÃO
BIBLIOTECONOMIA,31021018018P8,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,-,-,3,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,28001010041P0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,22001018085P8,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,3,-,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,33001014052P3,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,3,-,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,15001016158P5,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,3,-,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,27001016175P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,-,-,3,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,31003010063P6,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,42001013176P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,A,-,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,33004110043P4,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, MARÍLIA",UNESP-MAR,SP,6,6,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,24001015049P7,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,33002010195P5,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,25001019077P3,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,30001013108P0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,A,-,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,26001012171P2,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,A,-,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO,41001010052P0,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,5,5,-,-,COMUNICACÃO E INFORMAÇÃO
Ciência da Informação,40002012048P2,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIA DA INFORMAÇÃO - UFRJ - IBICT,31001017138P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIAS DA COMUNICAÇÃO,42007011004P2,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS,6,6,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIAS DA COMUNICAÇÃO,33002010096P7,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIAS DA INFORMAÇÃO,53001010018P0,UNIVERSIDADE DE BRASÍLIA,UNB,DF,5,5,-,-,COMUNICACÃO E INFORMAÇÃO
CIÊNCIAS DA INFORMAÇÃO,32001010028P2,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,5,5,-,-,COMUNICACÃO E INFORMAÇÃO
CINEMA E AUDIOVISUAL,31003010172P0,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,28022017012P7,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,BA,3,-,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,32007019049P8,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,3,-,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,53001010019P6,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,52001016037P8,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,42002010031P1,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,5,5,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,40002012034P1,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,3,-,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,33106010003P1,UNIVERSIDADE ANHEMBI MORUMBI,UAM,SP,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,33063010004P6,UNIVERSIDADE PAULISTA,UNIP,SP,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,33018014002P2,FACULDADE CÁSPER LÍBERO,FCL,SP,4,-,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,33004056081P4,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BAURU",UNESP-BAURU,SP,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,32005016019P9,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,31005012029P1,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,4,4,-,-,COMUNICACÃO E INFORMAÇÃO
COMUNICAÇÃO,31004016033P2,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,COMUNICACÃO E INFORMAÇÃO
