Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
ANÁLISE E GESTÃO DE POLÍTICAS INTERNACIONAIS: RESOLUÇÃO DE CONFLITOS E COOPERAÇÃO PARA O DESENVOLVIMENTO,31005012157P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,-,-,3,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
AVALIAÇÃO E MONITORAMENTO DE POLÍTICAS PÚBLICAS ,53013018002P7,FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA,ENAP,DF,-,-,A,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA  POLÍTICA,32001010011P2,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,7,7,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA  POLÍTICA,53001010026P2,UNIVERSIDADE DE BRASÍLIA,UNB,DF,6,6,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA  POLÍTICA,42001013033P4,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,4,4,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA  POLÍTICA,33002010030P6,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA  POLÍTICA,33003017017P6,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,6,6,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA  POLÍTICA,31003010033P0,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIENCIA POLITICA,33001014026P2,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,5,5,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA POLÍTICA,28001010177P0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,A,-,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA POLÍTICA,24009016171P8,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,3,-,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA POLÍTICA,25001019033P6,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,6,6,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA POLÍTICA,31021018157P8,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,3,-,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA POLÍTICA,21001014082P6,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,A,-,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA POLÍTICA,15001016053P9,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,3,-,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA POLÍTICA,31004016061P6,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,6,6,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA POLÍTICA,40001016061P2,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,5,5,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
Ciência Política,52001016055P6,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,3,-,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
Ciência Política,42003016037P2,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,4,4,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,24001015080P1,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,3,-,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
Ciências Aeroespaciais,31096018001P2,UNIVERSIDADE DA FORÇA AÉREA,UNIFA,RJ,-,-,4,4,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
CIÊNCIAS MILITARES,31098010001P5,ESCOLA DE COMANDO E ESTADO-MAIOR DO EXÉRCITO,ECEME,RJ,4,4,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
DEFESA E SEGURANÇA CIVIL,31003010057P6,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,-,-,3,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
"DIREITOS HUMANOS, CIDADANIA E VIOLÊNCIA",53017013001P6,CENTRO UNIVERSITÁRIO EURO-AMERICANO,UNIEURO,DF,3,-,-,-,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS
