Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
CIÊNCIA JURÍDICA,40031012001P5,UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ,UENP,PR,4,4,-,-,DIREITO
CIÊNCIA JURÍDICA,41005015001P8,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,SC,6,6,-,-,DIREITO
CIÊNCIAS CRIMINAIS,42005019023P4,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUC/RS,RS,5,5,-,-,DIREITO
CIÊNCIAS JURÍDICAS,40030016001P9,CENTRO UNIVERSITÁRIO DE MARINGÁ,UNICESUMAR,PR,4,4,-,-,DIREITO
CIÊNCIAS JURÍDICAS,24001015037P9,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,4,4,-,-,DIREITO
DIREITO,22001018011P4,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,4,4,-,-,DIREITO
DIREITO,23001011034P7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,-,-,-,DIREITO
DIREITO,25001019029P9,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,4,4,-,-,DIREITO
DIREITO,25002015006P5,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,PE,4,4,-,-,DIREITO
DIREITO,26001012018P0,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,3,-,-,-,DIREITO
DIREITO,27001016035P4,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,3,-,-,-,DIREITO
DIREITO,28001010015P0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,5,5,-,-,DIREITO
DIREITO,30010012001P7,FACULDADE DE DIREITO DE VITÓRIA,FDV,ES,5,5,-,-,DIREITO
DIREITO,31001017130P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,DIREITO
DIREITO,31004016015P4,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,DIREITO
DIREITO,31005012020P4,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,5,5,-,-,DIREITO
DIREITO,31018017007P9,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,RJ,5,5,-,-,DIREITO
DIREITO,31019013002P3,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP-RJ,RJ,4,-,-,-,DIREITO
DIREITO,31021018015P9,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,3,-,-,-,DIREITO
DIREITO,31032010002P6,UNIVERSIDADE CÂNDIDO MENDES,UCAM,RJ,3,-,-,-,DIREITO
DIREITO,32001010027P6,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,6,6,-,-,DIREITO
DIREITO,32008015005P7,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC/MG,MG,6,6,-,-,DIREITO
DIREITO,33002010119P7,UNIVERSIDADE DE SÃO PAULO,USP,SP,6,6,-,-,DIREITO
DIREITO,33004072068P9,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, FRANCA",UNESP-FR,SP,4,-,-,-,DIREITO
DIREITO,33005010019P5,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUC/SP,SP,4,4,-,-,DIREITO
DIREITO,33007012005P3,UNIVERSIDADE METODISTA DE PIRACICABA,UNIMEP,SP,3,-,-,-,DIREITO
DIREITO,33020019001P7,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,SP,4,4,-,-,DIREITO
DIREITO,33034010006P0,UNIVERSIDADE DE MARÍLIA,UNIMAR,SP,4,4,-,-,DIREITO
DIREITO,33079013001P3,CENTRO UNIVERSITÁRIO FIEO,UNIFIEO,SP,3,-,-,-,DIREITO
DIREITO,33092010011P1,UNIVERSIDADE NOVE DE JULHO,UNINOVE,SP,4,-,-,-,DIREITO
DIREITO,33111014001P9,CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA,UNIVEM,SP,3,-,-,-,DIREITO
DIREITO,40001016017P3,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,6,6,-,-,DIREITO
DIREITO,40003019006P4,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUC/PR,PR,6,6,-,-,DIREITO
DIREITO,40029018001P4,CENTRO UNIVERSITÁRIO CURITIBA,UNICURITIBA,PR,4,4,-,-,DIREITO
DIREITO,40036014001P7,CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL,UNIBRASIL,PR,4,4,-,-,DIREITO
DIREITO,41001010011P1,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,6,6,-,-,DIREITO
DIREITO,41007018003P3,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,SC,4,4,-,-,DIREITO
DIREITO,42001013042P3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,5,5,-,-,DIREITO
DIREITO,42005019013P9,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUC/RS,RS,6,6,-,-,DIREITO
DIREITO,42007011005P9,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS,6,6,-,-,DIREITO
