Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
CIÊNCIA ECONÔMICA,33003017020P7,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,6,6,-,-,ECONOMIA
CIÊNCIAS (ECONOMIA APLICADA),33002037011P2,ESCOLA SUPERIOR DE AGRICULTURA LUIZ DE QUEIROZ - USP,USP-ESALQ,SP,5,5,-,-,ECONOMIA
CIÊNCIAS ECONÔMICAS,31004016032P6,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,4,4,-,-,ECONOMIA
DESENVOLVIMENTO ECONÔMICO,33003017071P0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,5,5,-,-,ECONOMIA
DESENVOLVIMENTO ECONÔMICO,40001016024P0,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,5,5,-,-,ECONOMIA
DESENVOLVIMENTO ECONÔMICO E ESTRATÉGIA EMPRESARIAL,32014015101P2,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG,-,-,3,-,ECONOMIA
DESENVOLVIMENTO SOCIOECONÔMICO,20001010021P4,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,3,-,-,-,ECONOMIA
ECONOMIA,22001018009P0,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,5,5,-,-,ECONOMIA
ECONOMIA,22001018053P9,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,-,-,4,-,ECONOMIA
ECONOMIA,23001011039P9,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,4,-,-,-,ECONOMIA
ECONOMIA,24001015027P3,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,5,5,-,-,ECONOMIA
ECONOMIA,25001019017P0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,5,5,-,-,ECONOMIA
ECONOMIA,25001019063P2,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,-,-,4,-,ECONOMIA
ECONOMIA,26001012024P0,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,3,-,-,-,ECONOMIA
ECONOMIA,27001016013P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,-,-,3,-,ECONOMIA
ECONOMIA,28001010010P8,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,ECONOMIA
ECONOMIA,30001013008P6,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,4,-,-,ECONOMIA
ECONOMIA,31003010022P8,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,6,6,-,-,ECONOMIA
ECONOMIA,31005012008P4,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,7,7,-,-,ECONOMIA
ECONOMIA,31011012002P2,FUNDAÇÃO GETÚLIO VARGAS,FGV,RJ,7,7,-,-,ECONOMIA
ECONOMIA,31011012010P5,FUNDAÇÃO GETÚLIO VARGAS,FGV,RJ,-,-,5,-,ECONOMIA
