Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
CIÊNCIAS DA ATIVIDADE FÍSICA,31025013002P0,UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,RJ,3,-,-,-,EDUCAÇÃO FÍSICA
Ciências da Atividade Física,33002010241P7,UNIVERSIDADE DE SÃO PAULO,USP,SP,3,-,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA MOTRICIDADE,33004137062P0,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, RIO CLARO",UNESP-RC,SP,5,5,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA REABILITAÇÃO,53001010107P2,UNIVERSIDADE DE BRASÍLIA,UNB,DF,3,-,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA REABILITAÇÃO,32011016042P7,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL,MG,3,-,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA REABILITAÇÃO,41001010160P7,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,3,-,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA REABILITAÇÃO,28001010176P3,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,A,-,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA REABILITAÇÃO,40002012042P4,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,5,5,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA REABILITAÇÃO,33092010004P5,UNIVERSIDADE NOVE DE JULHO,UNINOVE,SP,5,5,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA REABILITAÇÃO,33002010194P9,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA REABILITAÇÃO,23001011173P7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,-,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA REABILITAÇÃO,32001010062P6,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,6,6,-,-,EDUCAÇÃO FÍSICA
Ciências da Reabilitação,31063012002P4,CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,UNISUAM,RJ,4,4,-,-,EDUCAÇÃO FÍSICA
Ciências da Reabilitação,42015014008P7,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS,4,4,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DA REABILITAÇÃO E DESEMPENHO FÍSICO-FUNCIONAL,32005016071P0,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,3,-,-,-,EDUCAÇÃO FÍSICA
CIÊNCIAS DO ESPORTE,32001010040P2,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,5,5,-,-,EDUCAÇÃO FÍSICA
