Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 ENFERMAGEM,22011013003P3,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,CE,3,-,-,-,ENFERMAGEM
ATENÇÃO À SAÚDE,32012012004P4,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,MG,4,4,-,-,ENFERMAGEM
ATENÇÃO À SAÚDE,52002012016P7,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC-GOIÁS,GO,3,-,-,-,ENFERMAGEM
CIÊNCIAS DA SAÚDE,42002010168P7,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,A,-,-,-,ENFERMAGEM
Ciências para a Saúde,53022017001P6,FUNDAÇÃO DE ENSINO E PESQUISA EM CIÊNCIAS DA SAÚDE,FEPECS,DF,-,-,3,-,ENFERMAGEM
Cuidados Clínicos em Enfermagem e Saúde,22003010012P3,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,CE,5,5,-,-,ENFERMAGEM
ENFERMAGEM,15001016066P3,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,3,-,-,-,ENFERMAGEM
ENFERMAGEM,21001014012P8,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,4,4,-,-,ENFERMAGEM
ENFERMAGEM,22001018021P0,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,6,6,-,-,ENFERMAGEM
ENFERMAGEM,23001011029P3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,4,4,-,-,ENFERMAGEM
ENFERMAGEM,24001015016P1,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,5,5,-,-,ENFERMAGEM
ENFERMAGEM,25001019082P7,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,4,4,-,-,ENFERMAGEM
ENFERMAGEM,26001012030P0,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,4,-,-,-,ENFERMAGEM
ENFERMAGEM,28002016013P0,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,BA,-,-,3,-,ENFERMAGEM
ENFERMAGEM,31001017060P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,ENFERMAGEM
ENFERMAGEM,31003010055P3,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,-,-,4,-,ENFERMAGEM
ENFERMAGEM,31003010067P1,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,ENFERMAGEM
ENFERMAGEM,31004016026P6,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,ENFERMAGEM
ENFERMAGEM,31021018001P8,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,4,-,-,-,ENFERMAGEM
ENFERMAGEM,32001010046P0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,5,5,-,-,ENFERMAGEM
ENFERMAGEM,33001014028P5,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,4,4,-,-,ENFERMAGEM
ENFERMAGEM,33002010083P2,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,ENFERMAGEM
ENFERMAGEM,33002010120P5,UNIVERSIDADE DE SÃO PAULO,USP,SP,-,6,-,-,ENFERMAGEM
ENFERMAGEM,33003017072P7,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,5,5,-,-,ENFERMAGEM
ENFERMAGEM,33004064081P0,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BOTUCATU",UNESP-BOT,SP,-,-,5,5,ENFERMAGEM
ENFERMAGEM,33004064085P5,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BOTUCATU",UNESP-BOT,SP,4,4,-,-,ENFERMAGEM
ENFERMAGEM,33009015035P2,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,5,5,-,-,ENFERMAGEM
ENFERMAGEM,33117012002P3,UNIVERSIDADE UNIVERSUS VERITAS GUARULHOS,UNIVERITAS UNG,SP,4,4,-,-,ENFERMAGEM
ENFERMAGEM,40001016045P7,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,5,5,-,-,ENFERMAGEM
ENFERMAGEM,40004015024P9,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,5,5,-,-,ENFERMAGEM
ENFERMAGEM,41001010009P7,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,6,6,-,-,ENFERMAGEM
ENFERMAGEM,42001013067P6,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,5,5,-,-,ENFERMAGEM
ENFERMAGEM,42002010035P7,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,4,4,-,-,ENFERMAGEM
ENFERMAGEM,42003016030P8,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,5,5,-,-,ENFERMAGEM
ENFERMAGEM,42004012009P5,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,5,5,-,-,ENFERMAGEM
ENFERMAGEM,50001019015P9,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,4,4,-,-,ENFERMAGEM
ENFERMAGEM,51001012036P9,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,3,-,-,-,ENFERMAGEM
ENFERMAGEM,52001016023P7,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,5,5,-,-,ENFERMAGEM
ENFERMAGEM,53001010082P0,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,ENFERMAGEM
ENFERMAGEM,42015014011P8,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS,-,-,3,-,ENFERMAGEM
ENFERMAGEM,51001012176P5,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,A,-,-,-,ENFERMAGEM
ENFERMAGEM,28007018077P0,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,BA,-,-,A,-,ENFERMAGEM
Enfermagem,33031010002P1,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,SP,3,-,-,-,ENFERMAGEM
Enfermagem,15006018003P3,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,PA,3,-,-,-,ENFERMAGEM
Enfermagem,22005013002P0,UNIVERSIDADE REGIONAL DO CARIRI,URCA,CE,3,-,-,-,ENFERMAGEM
Enfermagem,20001010025P0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,3,-,-,-,ENFERMAGEM
Enfermagem,40002012047P6,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,4,4,-,-,ENFERMAGEM
Enfermagem,42007011025P0,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS,-,-,3,-,ENFERMAGEM
