Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 ENGENHARIA HÍDRICA  ,32003013042P8,UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,MG,-,-,3,-,ENFERMAGEM
Ciência e Engenharia Ambiental,32011016011P4,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL,MG,3,-,-,-,ENFERMAGEM
CIÊNCIA E TECNOLOGIA AMBIENTAL,24004014005P9,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,PB,4,4,-,-,ENFERMAGEM
CIÊNCIAS DA ENGENHARIA AMBIENTAL,33002045016P0,"UNIVERSIDADE DE SÃO PAULO, SÃO CARLOS",USP-SC,SP,5,5,-,-,ENFERMAGEM
CONSTRUÇÃO CIVIL,32001010071P5,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,3,-,-,-,ENFERMAGEM
EFICIÊNCIA ENERGÉTICA E SUSTENTABILIDADE,51001012035P2,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,-,-,3,-,ENFERMAGEM
ENERGIA E AMBIENTE,22011013006P2,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,CE,A,-,-,-,ENFERMAGEM
ENGENHARIA AMBIENTAL,41001010080P3,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,-,-,3,-,ENFERMAGEM
ENGENHARIA AMBIENTAL,41001010033P5,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,6,6,-,-,ENFERMAGEM
ENGENHARIA AMBIENTAL,32007019011P0,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,5,5,-,-,ENFERMAGEM
ENGENHARIA AMBIENTAL,31040012001P5,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IFF,RJ,-,-,3,-,ENFERMAGEM
ENGENHARIA AMBIENTAL,31004016031P0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,-,-,5,-,ENFERMAGEM
ENGENHARIA AMBIENTAL,31001017115P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,4,-,ENFERMAGEM
ENGENHARIA AMBIENTAL,30001013003P4,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,5,5,-,-,ENFERMAGEM
ENGENHARIA AMBIENTAL,32004010043P4,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,A,-,-,-,ENFERMAGEM
ENGENHARIA AMBIENTAL,31001017171P7,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,4,-,-,ENFERMAGEM
ENGENHARIA AMBIENTAL,25003011036P8,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,4,-,-,-,ENFERMAGEM
Engenharia Ambiental,16003012010P3,UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,TO,-,-,3,-,ENFERMAGEM
Engenharia Ambiental,40001016075P3,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,4,4,-,-,ENFERMAGEM
Engenharia Ambiental,40006018023P5,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR,3,-,-,-,ENFERMAGEM
Engenharia Ambiental,42002010055P8,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,4,4,-,-,ENFERMAGEM
ENGENHARIA AMBIENTAL - DEAMB,31004016156P7,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,-,4,-,-,ENFERMAGEM
Engenharia Ambiental: Análise e Tecnologia Ambiental,40006018174P3,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR,3,-,-,-,ENFERMAGEM
ENGENHARIA AMBIENTAL E SANITÁRIA,52001016102P4,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,3,-,-,-,ENFERMAGEM
ENGENHARIA APLICADA E SUSTENTABILIDADE,52010015107P1,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IFGOIANO,GO,-,-,3,-,ENFERMAGEM
ENGENHARIA CIVIL,15001016031P5,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,ENFERMAGEM
ENGENHARIA CIVIL,23001011051P9,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,-,-,-,ENFERMAGEM
ENGENHARIA CIVIL,25001019040P2,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,5,5,-,-,ENFERMAGEM
ENGENHARIA CIVIL,25002015002P0,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,PE,3,-,-,-,ENFERMAGEM
ENGENHARIA CIVIL,25004018012P8,UNIVERSIDADE DE PERNAMBUCO,UPE,PE,3,-,-,-,ENFERMAGEM
ENGENHARIA CIVIL,26001012012P1,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,4,4,-,-,ENFERMAGEM
ENGENHARIA CIVIL,28001010038P0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,-,-,-,ENFERMAGEM
ENGENHARIA CIVIL,30001013012P3,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,3,-,-,-,ENFERMAGEM
ENGENHARIA CIVIL,31001017028P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,ENFERMAGEM
ENGENHARIA CIVIL,31003010006P2,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,3,-,-,-,ENFERMAGEM
ENGENHARIA CIVIL,31004016034P9,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,4,4,-,-,ENFERMAGEM
ENGENHARIA CIVIL,31005012010P9,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,6,6,-,-,ENFERMAGEM
ENGENHARIA CIVIL,31033016012P4,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,RJ,3,-,-,-,ENFERMAGEM
ENGENHARIA CIVIL,32002017017P7,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,4,4,-,-,ENFERMAGEM
ENGENHARIA CIVIL,32006012019P5,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,3,-,-,-,ENFERMAGEM
ENGENHARIA CIVIL,32007019005P0,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,4,4,-,-,ENFERMAGEM
ENGENHARIA CIVIL,32020015004P3,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET,MG,4,4,-,-,ENFERMAGEM
ENGENHARIA CIVIL,33002010130P0,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,ENFERMAGEM
ENGENHARIA CIVIL,33003017041P4,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,4,4,-,-,ENFERMAGEM
ENGENHARIA CIVIL,33004099084P5,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ILHA SOLTEIRA",UNESP-IS,SP,4,-,-,-,ENFERMAGEM
