Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
CIÊNCIA E ENGENHARIA DE PETRÓLEO,23001011041P3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,3,-,-,ENGENHARIAS III
CIÊNCIAS E ENGENHARIA DE PETRÓLEO,33003017076P2,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,5,5,-,-,ENGENHARIAS III
Ciências e Tecnologias Espaciais,33011010013P3,INSTITUTO TECNOLÓGICO DE AERONÁUTICA,ITA,SP,4,4,-,-,ENGENHARIAS III
CIÊNCIAS MECÂNICAS,53001010053P0,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,ENGENHARIAS III
ENERGIA E SUSTENTABILIDADE,41001010159P9,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,3,-,-,-,ENGENHARIAS III
Energias Renováveis,24001015072P9,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,3,-,-,-,ENGENHARIAS III
ENGENHARIA,42046017004P3,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,RS,3,-,-,-,ENGENHARIAS III
ENGENHARIA AEROESPACIAL,23001011181P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,A,-,-,-,ENGENHARIAS III
ENGENHARIA AERONÂUTICA E MECÂNICA,33011010008P0,INSTITUTO TECNOLÓGICO DE AERONÁUTICA,ITA,SP,6,6,-,-,ENGENHARIAS III
ENGENHARIA AERONÂUTICA E MECÂNICA,33011010012P7,INSTITUTO TECNOLÓGICO DE AERONÁUTICA,ITA,SP,-,-,4,-,ENGENHARIAS III
ENGENHARIA DE ENERGIA,32003013004P9,UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,MG,3,-,-,-,ENGENHARIAS III
ENGENHARIA DE MANUFATURA,40001016171P2,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,-,-,A,-,ENGENHARIAS III
ENGENHARIA DE PROCESSOS,15001016075P2,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,-,-,3,-,ENGENHARIAS III
ENGENHARIA DE PRODUÇÃO,32003013003P2,UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,MG,4,4,-,-,ENGENHARIAS III
ENGENHARIA DE PRODUÇÃO,32001010050P8,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,5,5,-,-,ENGENHARIAS III
