Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 ASSISTÊNCIA FARMACÊUTICA,15001016160P0,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,-,-,3,-,FARMÁCIA
ADMINISTRAÇÃO E GESTÃO DA ASSISTÊNCIA FARMACÊUTICA,31003010082P0,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,-,-,3,-,FARMÁCIA
ANÁLISES CLÍNICAS E TOXICOLÓGICAS,32001010093P9,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,4,4,-,-,FARMÁCIA
Assistência e Avaliação em Saúde,52001016072P8,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,3,-,-,-,FARMÁCIA
ASSISTÊNCIA FARMACÊUTICA,40004015072P3,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,-,-,3,-,FARMÁCIA
Assistência Farmacêutica,42001013102P6,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,4,4,-,-,FARMÁCIA
Biociências,25020013003P7,UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,PE,3,-,-,-,FARMÁCIA
Biociências e Biotecnologia,33002029041P3,"UNIVERSIDADE DE SÃO PAULO, RIBEIRÃO PRETO",USP-RP,SP,6,6,-,-,FARMÁCIA
BIOCIÊNCIAS E BIOTECNOLOGIA APLICADAS À FARMÁCIA,33004030081P7,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ARARAQUARA",UNESP-ARAR,SP,7,7,-,-,FARMÁCIA
Biociências e Fisiopatologia,40004015022P6,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,5,5,-,-,FARMÁCIA
BIOCIÊNCIAS E TECNOLOGIA DE PRODUTOS BIOATIVOS,33003017091P1,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,4,4,-,-,FARMÁCIA
Ciência e Tecnologia Farmacêutica,31001017154P5,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,3,-,FARMÁCIA
CIENCIAS FARMACEUTICAS,21001014022P3,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,4,4,-,-,FARMÁCIA
