Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
FILOSOFIA,15001016070P0,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,3,-,-,-,FILOSOFIA
FILOSOFIA,25002015010P2,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,PE,A,-,-,-,FILOSOFIA
FILOSOFIA,22001018037P3,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,4,4,-,-,FILOSOFIA
FILOSOFIA,23001011030P1,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,4,4,-,-,FILOSOFIA
FILOSOFIA,24001015005P0,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,3,-,-,-,FILOSOFIA
FILOSOFIA,21001014015P7,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,4,4,-,-,FILOSOFIA
FILOSOFIA,20001010056P2,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,A,-,-,-,FILOSOFIA
FILOSOFIA,32004010048P6,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,A,-,-,-,FILOSOFIA
FILOSOFIA,22004017004P7,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA-CE,CE,A,-,-,-,FILOSOFIA
FILOSOFIA,41020014013P8,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,SC,A,-,-,-,FILOSOFIA
FILOSOFIA,32018010045P0,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,UFSJ,MG,A,-,-,-,FILOSOFIA
FILOSOFIA,10001018043P0,UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,RO,A,-,-,-,FILOSOFIA
FILOSOFIA,26001012172P9,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,A,-,-,-,FILOSOFIA
FILOSOFIA,32005016107P5,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,3,-,-,-,FILOSOFIA
FILOSOFIA,40001016170P6,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,-,-,3,-,FILOSOFIA
FILOSOFIA,28001010042P7,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,5,5,-,-,FILOSOFIA
FILOSOFIA,30001013037P6,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,4,-,-,FILOSOFIA
FILOSOFIA,31001017022P1,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,FILOSOFIA
FILOSOFIA,31003010081P4,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,FILOSOFIA
FILOSOFIA,31004016016P0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,FILOSOFIA
FILOSOFIA,31005012006P1,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,5,5,-,-,FILOSOFIA
FILOSOFIA,32001010012P9,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,6,6,-,-,FILOSOFIA
FILOSOFIA,32006012024P9,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,4,4,-,-,FILOSOFIA
FILOSOFIA,32029012003P4,FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA,FAJE,MG,3,-,-,-,FILOSOFIA
FILOSOFIA,33001014010P9,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,5,5,-,-,FILOSOFIA
FILOSOFIA,33002010031P2,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,FILOSOFIA
FILOSOFIA,33003017066P7,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,6,6,-,-,FILOSOFIA
FILOSOFIA,33004110041P1,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, MARÍLIA",UNESP-MAR,SP,4,-,-,-,FILOSOFIA
FILOSOFIA,33005010008P3,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUC/SP,SP,5,5,-,-,FILOSOFIA
FILOSOFIA,33009015072P5,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,4,4,-,-,FILOSOFIA
FILOSOFIA,40001016039P7,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,5,5,-,-,FILOSOFIA
FILOSOFIA,40003019015P3,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUC/PR,PR,5,5,-,-,FILOSOFIA
FILOSOFIA,40015017005P2,UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,UNIOESTE,PR,4,4,-,-,FILOSOFIA
FILOSOFIA,41001010029P8,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,6,6,-,-,FILOSOFIA
FILOSOFIA,42001013032P8,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,5,5,-,-,FILOSOFIA
FILOSOFIA,42002010002P1,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,5,5,-,-,FILOSOFIA
FILOSOFIA,42003016031P4,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,4,4,-,-,FILOSOFIA
FILOSOFIA,42005019004P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUC/RS,RS,6,6,-,-,FILOSOFIA
FILOSOFIA,42007011010P2,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS,5,5,-,-,FILOSOFIA
FILOSOFIA,52001016011P9,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,4,4,-,-,FILOSOFIA
FILOSOFIA,53001010048P6,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,FILOSOFIA
FILOSOFIA,25001019094P5,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,3,-,-,-,FILOSOFIA
FILOSOFIA,33144010020P1,UNIVERSIDADE FEDERAL DO ABC,UFABC,SP,4,4,-,-,FILOSOFIA
Filosofia,40004015036P7,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,3,-,-,-,FILOSOFIA
Filosofia,42008018011P5,UNIVERSIDADE DE CAXIAS DO SUL,UCS,RS,4,4,-,-,FILOSOFIA
Filosofia,40002012045P3,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,4,4,-,-,FILOSOFIA
Filosofia,31002013031P7,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,3,-,-,-,FILOSOFIA
Filosofia,50001019038P9,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,3,-,-,-,FILOSOFIA
Filosofia,27001016039P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,4,4,-,-,FILOSOFIA
Filosofia,32007019012P7,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,4,4,-,-,FILOSOFIA
FILOSOFIA E ENSINO,31022014008P9,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET,RJ,-,-,3,-,FILOSOFIA
LÓGICA E METAFÍSICA,31001017123P2,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,FILOSOFIA
METAFÍSICA,53001010109P5,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,FILOSOFIA
