Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 ANÁLISE E PLANEJAMENTO ESPACIAL ,21003017002P5,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIENCIA E TECNOLOGIA DO PIAUÍ",IFPI,PI,-,-,A,-,GEOGRAFIA
DESENVOLVIMENTO TERRITORIAL NA AMÉRICA LATINA E CARIBE,33004013068P6,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - SEDE,UNESP-REITORIA,SP,3,-,-,-,GEOGRAFIA
ESTUDOS TERRITORIAIS ,28005015074P8,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA,A,-,-,-,GEOGRAFIA
GEOGRAFIA,32018010016P0,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,UFSJ,MG,3,-,-,-,GEOGRAFIA
GEOGRAFIA,12001015026P3,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,4,4,-,-,GEOGRAFIA
GEOGRAFIA,15001016042P7,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,GEOGRAFIA
GEOGRAFIA,16003012009P5,UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,TO,3,-,-,-,GEOGRAFIA
GEOGRAFIA,22001018044P0,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,6,6,-,-,GEOGRAFIA
GEOGRAFIA,22003010006P3,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,CE,4,4,-,-,GEOGRAFIA
GEOGRAFIA,23001011028P7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,5,5,-,-,GEOGRAFIA
GEOGRAFIA,24001015042P2,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,4,4,-,-,GEOGRAFIA
GEOGRAFIA,25001019016P4,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,5,5,-,-,GEOGRAFIA
GEOGRAFIA,27001016001P2,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,4,4,-,-,GEOGRAFIA
GEOGRAFIA,28001010032P1,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,GEOGRAFIA
GEOGRAFIA,30001013034P7,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,4,-,-,GEOGRAFIA
GEOGRAFIA,31001017024P4,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,7,7,-,-,GEOGRAFIA
GEOGRAFIA,31003010041P2,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,6,6,-,-,GEOGRAFIA
GEOGRAFIA,31004016035P5,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,GEOGRAFIA
GEOGRAFIA,31004016062P2,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,4,-,-,-,GEOGRAFIA
GEOGRAFIA,31005012034P5,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,4,4,-,-,GEOGRAFIA
GEOGRAFIA,32001010037P1,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,6,6,-,-,GEOGRAFIA
GEOGRAFIA,32005016035P4,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,4,-,-,-,GEOGRAFIA
GEOGRAFIA,32006012010P8,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,5,5,-,-,GEOGRAFIA
GEOGRAFIA,33003017080P0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,6,6,-,-,GEOGRAFIA
GEOGRAFIA,33004129042P3,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, PRESIDENTE PRUDENTE",UNESP-PP,SP,7,7,-,-,GEOGRAFIA
GEOGRAFIA,33004129047P5,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, PRESIDENTE PRUDENTE",UNESP-PP,SP,-,-,3,-,GEOGRAFIA
GEOGRAFIA,33004137004P0,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, RIO CLARO",UNESP-RC,SP,5,5,-,-,GEOGRAFIA
GEOGRAFIA,40001016035P1,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,6,6,-,-,GEOGRAFIA
GEOGRAFIA,40002012021P7,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,4,4,-,-,GEOGRAFIA
GEOGRAFIA,40004015012P0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,5,5,-,-,GEOGRAFIA
GEOGRAFIA,40005011010P4,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,PR,5,5,-,-,GEOGRAFIA
GEOGRAFIA,40015017010P6,UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,UNIOESTE,PR,4,4,-,-,GEOGRAFIA
GEOGRAFIA,41001010016P3,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,5,5,-,-,GEOGRAFIA
GEOGRAFIA,42001013065P3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,6,6,-,-,GEOGRAFIA
GEOGRAFIA,42002010025P1,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,5,5,-,-,GEOGRAFIA
GEOGRAFIA,42004012015P5,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,3,-,-,-,GEOGRAFIA
GEOGRAFIA,50001019006P0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,3,-,-,-,GEOGRAFIA
GEOGRAFIA,51001012027P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,4,4,-,-,GEOGRAFIA
GEOGRAFIA,51005018004P5,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MS,4,4,-,-,GEOGRAFIA
GEOGRAFIA,52001016012P5,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,5,5,-,-,GEOGRAFIA
GEOGRAFIA,53001010043P4,UNIVERSIDADE DE BRASÍLIA,UNB,DF,5,5,-,-,GEOGRAFIA
GEOGRAFIA,50001019036P6,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,3,-,-,-,GEOGRAFIA
GEOGRAFIA,10001018005P0,UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,RO,4,4,-,-,GEOGRAFIA
GEOGRAFIA,32014015011P3,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG,3,-,-,-,GEOGRAFIA
GEOGRAFIA,32006012070P0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,3,-,-,-,GEOGRAFIA
GEOGRAFIA,31002013157P0,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,3,-,-,-,GEOGRAFIA
GEOGRAFIA,23002018074P5,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,RN,3,-,-,-,GEOGRAFIA
GEOGRAFIA,33001014071P8,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,3,-,-,-,GEOGRAFIA
GEOGRAFIA,32002017051P0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,A,-,-,-,GEOGRAFIA
GEOGRAFIA,32011016045P6,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL,MG,A,-,-,-,GEOGRAFIA
