Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
Ensino de História,31001017155P1,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,4,-,HISTORIA
"ESTUDOS AFRICANOS, POVOS INDÍGENAS E CULTURAS NEGRAS",28005015071P9,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA,3,-,-,-,HISTORIA
ESTUDOS CULTURAIS MEMORIA E PATRIMÔNIO,52012018014P6,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,GO,-,-,A,-,HISTORIA
HISTORIA,32014015008P2,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG,3,-,-,-,HISTORIA
HISTORIA,52001016066P8,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,-,-,3,-,HISTORIA
HISTORIA,31021018010P7,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,5,5,-,-,HISTORIA
HISTÓRIA,12001015023P4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,4,4,-,-,HISTORIA
HISTÓRIA,15001016043P3,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,5,5,-,-,HISTORIA
HISTÓRIA,20001010024P3,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,4,4,-,-,HISTORIA
HISTÓRIA,21001014009P7,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,4,4,-,-,HISTORIA
HISTÓRIA,22001018033P8,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,4,4,-,-,HISTORIA
HISTÓRIA,23001011038P2,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,4,4,-,-,HISTORIA
HISTÓRIA,24001015045P1,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,3,-,-,-,HISTORIA
HISTÓRIA,24009016018P5,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,3,-,-,-,HISTORIA
HISTÓRIA,25001019015P8,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,4,4,-,-,HISTORIA
HISTÓRIA,25003011019P6,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,4,4,-,-,HISTORIA
HISTÓRIA,28001010022P6,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,HISTORIA
HISTÓRIA,28002016009P2,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,BA,3,-,-,-,HISTORIA
HISTÓRIA,30001013017P5,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,5,5,-,-,HISTORIA
HISTÓRIA,31002013019P7,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,5,5,-,-,HISTORIA
HISTÓRIA,31003010005P6,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,7,7,-,-,HISTORIA
HISTÓRIA,31004016024P3,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,HISTORIA
HISTÓRIA,31025013003P6,UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,RJ,4,4,-,-,HISTORIA
