Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 Estudos da Linguagem,40005011012P7,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,PR,4,-,-,-,LETRAS / LINGUÍSTICA
 LINGUÍSTICA E LÍNGUAS INDÍGENAS,31001017167P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,3,-,LETRAS / LINGUÍSTICA
CIÊNCIAS DA LINGUAGEM,23002018073P9,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,RN,3,-,-,-,LETRAS / LINGUÍSTICA
CIÊNCIAS DA LINGUAGEM,25002015003P6,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,PE,5,5,-,-,LETRAS / LINGUÍSTICA
CIÊNCIAS DA LINGUAGEM,41008014001P7,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,SC,5,5,-,-,LETRAS / LINGUÍSTICA
Ciências da linguagem,32073011001P2,UNIVERSIDADE DO VALE DO SAPUCAÍ,UNIVAS,MG,4,4,-,-,LETRAS / LINGUÍSTICA
CRÍTICA CULTURAL,28005015008P5,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA,4,4,-,-,LETRAS / LINGUÍSTICA
EDUCAÇÃO BILÍNGUE,31047017001P0,INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS,INES,RJ,-,-,A,-,LETRAS / LINGUÍSTICA
ENSINO DE LÍNGUA PORTUGUESA E SUAS RESPECTIVAS LITERATURAS          ,15006018010P0,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,PA,-,-,A,-,LETRAS / LINGUÍSTICA
Ensino de Línguas,42046017010P3,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,RS,-,-,3,-,LETRAS / LINGUÍSTICA
ESTUDO DE LINGUAGENS,28005015003P3,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA,4,-,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DA LINGUAGEM,23001011013P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,5,5,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DA LINGUAGEM,25003011075P3,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,A,-,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DA LINGUAGEM,22011013004P0,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,CE,A,-,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DA LINGUAGEM,52001016049P6,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,4,4,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DA LINGUAGEM,40002012022P3,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,5,5,-,-,LETRAS / LINGUÍSTICA
Estudos da linguagem,31005012037P4,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,5,5,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DA TRADUÇÃO,41001010053P6,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,6,6,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DA TRADUÇÃO,33002010224P5,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,LETRAS / LINGUÍSTICA
Estudos da Tradução,22001018083P5,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,3,-,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DE LINGUAGEM,50001019008P2,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,4,4,-,-,LETRAS / LINGUÍSTICA
Estudos de Linguagem,31003010073P1,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,5,5,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DE LINGUAGENS,32020015006P6,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFET,MG,4,4,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DE LINGUAGENS,51001012020P5,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,4,4,-,-,LETRAS / LINGUÍSTICA
ESTUDOS DE LINGUAGENS,40006018035P3,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR,3,-,-,-,LETRAS / LINGUÍSTICA
Estudos de Literatura,31003010074P8,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,6,6,-,-,LETRAS / LINGUÍSTICA
Estudos de literatura,33001014041P1,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,4,4,-,-,LETRAS / LINGUÍSTICA
Estudos de Tradução,53001010091P9,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,-,-,-,LETRAS / LINGUÍSTICA
Estudos Judaicos e Arabes,33002010216P2,UNIVERSIDADE DE SÃO PAULO,USP,SP,3,-,-,-,LETRAS / LINGUÍSTICA
ESTUDOS LINGÜÍSTICOS,33004153069P5,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, SÃO JOSÉ DO RIO PRETO",UNESP-SJRP,SP,6,6,-,-,LETRAS / LINGUÍSTICA
ESTUDOS LINGÜÍSTICOS,32001010057P2,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,7,7,-,-,LETRAS / LINGUÍSTICA
ESTUDOS LINGÜÍSTICOS,32006012007P7,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,5,5,-,-,LETRAS / LINGUÍSTICA
Estudos Linguísticos,41020014001P0,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,SC,4,-,-,-,LETRAS / LINGUÍSTICA
Estudos Linguísticos,28002016012P3,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,BA,4,4,-,-,LETRAS / LINGUÍSTICA
ESTUDOS LINGUÍSTICOS  E LITERÁRIOS EM INGLÊS,33002010109P1,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,LETRAS / LINGUÍSTICA
ESTUDOS LITERÁRIOS,32001010056P6,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,7,7,-,-,LETRAS / LINGUÍSTICA
ESTUDOS LITERÁRIOS,33004030016P0,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ARARAQUARA",UNESP-ARAR,SP,6,6,-,-,LETRAS / LINGUÍSTICA
Estudos Literários,50002015004P3,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,MT,4,4,-,-,LETRAS / LINGUÍSTICA
Estudos Literários,32006012022P6,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,4,4,-,-,LETRAS / LINGUÍSTICA
Estudos Literários,10001018012P7,UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,RO,3,-,-,-,LETRAS / LINGUÍSTICA
Estudos Literários,28002016003P4,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,BA,4,-,-,-,LETRAS / LINGUÍSTICA
