Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
Ensino de Matemática,33002010223P9,UNIVERSIDADE DE SÃO PAULO,USP,SP,-,-,4,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
ESTATISTICA,53001010074P7,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,-,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
ESTATÍSTICA,33003017006P4,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,5,5,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
ESTATÍSTICA,25001019048P3,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,5,5,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
ESTATÍSTICA,31001017005P0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
ESTATÍSTICA,42001013177P6,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,A,-,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
ESTATÍSTICA,32001010053P7,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,5,5,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
ESTATÍSTICA,33002010007P4,UNIVERSIDADE DE SÃO PAULO,USP,SP,6,6,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
Estatística - UFSCAR/USP,33001014045P7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,4,4,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
MATEMATICA,20001010019P0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,3,-,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
MATEMÁTICA,31003010003P3,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,5,5,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
MATEMÁTICA,31005012003P2,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,7,7,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
MATEMÁTICA,31008011001P9,ASSOCIAÇÃO INSTITUTO NACIONAL DE MATEMÁTICA PURA E APLICADA,IMPA,RJ,7,7,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
MATEMÁTICA,31001017003P7,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,7,7,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
MATEMÁTICA,30001013023P5,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,3,-,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
MATEMÁTICA,28001010003P1,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,-,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
MATEMÁTICA,26001012015P0,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,3,-,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
MATEMÁTICA,25001019003P0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,5,5,-,-,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
