Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 MEDICINA CARDIOVASCULAR,33002010250P6,UNIVERSIDADE DE SÃO PAULO,USP,SP,-,-,3,-,MEDICINA I
ATENÇÃO E ESTUDO CLÍNICO NO DIABETES,15001016167P4,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,-,-,A,-,MEDICINA I
CARDIOLOGIA,33002010125P7,UNIVERSIDADE DE SÃO PAULO,USP,SP,-,7,-,-,MEDICINA I
CIÊNCIA APLICADA À QUALIFICAÇÃO MÉDICA,33003017171P5,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,-,-,3,-,MEDICINA I
CIÊNCIA E TECNOLOGIA EM SAÚDE,24004014016P0,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,PB,-,-,3,-,MEDICINA I
CIÊNCIAS APLICADAS À ATENÇÃO HOSPITALAR,51020009001P2,HOSPITAL UNIVERSITÁRIO JÚLIO MÜLLER - EBSERH,HUJM,MT,-,-,3,-,MEDICINA I
CIÊNCIAS APLICADAS À DERMATOLOGIA,12008010071P7,UNIVERSIDADE DO ESTADO DO AMAZONAS,UEA,AM,-,-,3,-,MEDICINA I
CIÊNCIAS APLICADAS A SAÚDE,40015017171P0,UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,UNIOESTE,PR,3,-,-,-,MEDICINA I
Ciências Aplicadas à Saúde,27001016047P2,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,3,-,-,-,MEDICINA I
Ciências Aplicadas à Saúde do Adulto,32001010065P5,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,5,5,-,-,MEDICINA I
Ciências Biomédicas,21001014034P1,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,3,-,-,-,MEDICINA I
CIÊNCIAS CARDIOVASCULARES,22001018174P0,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,A,-,-,-,MEDICINA I
CIÊNCIAS CARDIOVASCULARES,31003010021P1,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,MEDICINA I
Ciências Cardiovasculares,31073018001P0,INSTITUTO NACIONAL DE CARDIOLOGIA,INC,RJ,-,-,3,-,MEDICINA I
CIENCIAS DA SAUDE,25004018009P7,UNIVERSIDADE DE PERNAMBUCO,UPE,PE,3,3,-,-,MEDICINA I
CIENCIAS DA SAUDE,40003019013P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUC/PR,PR,5,5,-,-,MEDICINA I
CIÊNCIAS DA SAUDE,27001016009P3,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,5,5,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,32006012030P9,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,-,-,3,-,MEDICINA I
CIÊNCIAS DA SAÚDE,32006012008P3,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,5,5,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,28001010072P3,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,5,5,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,33068011006P7,SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA ALBERT EINSTEIN,SBIBAE,SP,4,4,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,20001010009P4,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,4,4,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,32010010048P2,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,MG,A,A,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,15010015073P5,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,PA,A,-,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,53029011002P7,ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE,FEPECS-ESCS,DF,3,-,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,32002017050P4,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,-,-,3,-,MEDICINA I
CIÊNCIAS DA SAÚDE,42008018034P5,UNIVERSIDADE DE CAXIAS DO SUL,UCS,RS,4,4,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,50001019009P9,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,4,4,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,42015014006P4,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS,5,5,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,41015010003P2,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,SC,6,6,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,33112010001P5,CENTRO UNIVERSITÁRIO SAÚDE ABC,FMABC,SP,3,3,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,33050015007P0,UNIVERSIDADE SÃO FRANCISCO,USF,SP,4,4,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,33038015007P8,INSTITUTO DE ASSISTÊNCIA MÉDICA AO SERVIDOR PÚBLICO ESTADUAL,IAMSPE,SP,3,3,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,33031010001P5,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,SP,4,4,-,-,MEDICINA I
CIÊNCIAS DA SAÚDE,33019010010P1,FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA DE SÃO PAULO,FCMSCSP-TI,SP,4,4,-,-,MEDICINA I
Ciências da Saúde,40002012046P0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,5,5,-,-,MEDICINA I
Ciências da Saúde,33160015002P8,INSTITUTO SÍRIO-LIBANÊS DE ENSINO E PESQUISA,IEP,SP,4,4,-,-,MEDICINA I
Ciências da Saúde,33026017001P5,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,SP,4,4,-,-,MEDICINA I
Ciências da Saúde,32034016001P1,FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS,FCMMG,MG,3,-,-,-,MEDICINA I
