Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 SAÚDE ANIMAL,42008018036P8,UNIVERSIDADE DE CAXIAS DO SUL,UCS,RS,-,-,A,-,MEDICINA VETERINÁRIA
ALIMENTOS DE ORIGEM ANIMAL,42001013157P5,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,-,-,3,-,MEDICINA VETERINÁRIA
ANATOMIA DOS ANIMAIS DOMÉSTICOS E  SILVESTRES,33002010099P6,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,MEDICINA VETERINÁRIA
ANIMAIS SELVAGENS,33004064090P9,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BOTUCATU",UNESP-BOT,SP,4,4,-,-,MEDICINA VETERINÁRIA
BIOCIÊNCIA ANIMAL,52001016105P3,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,4,-,-,-,MEDICINA VETERINÁRIA
BIOCIÊNCIA ANIMAL,25003011022P7,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,5,5,-,-,MEDICINA VETERINÁRIA
Biociência Animal,33002010238P6,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,MEDICINA VETERINÁRIA
Biociência Animal,50008013002P9,UNIVERSIDADE DE CUIABÁ,UNIC,MT,4,4,-,-,MEDICINA VETERINÁRIA
Bioexperimentação,42009014009P7,FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO,FUPF,RS,4,4,-,-,MEDICINA VETERINÁRIA
BIOTECNOLOGIA ANIMAL,33004064086P1,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BOTUCATU",UNESP-BOT,SP,5,5,-,-,MEDICINA VETERINÁRIA
CIENCIA ANIMAL,41002016008P3,UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC,5,5,-,-,MEDICINA VETERINÁRIA
CIÊNCIA ANIMAL,26001012170P6,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,3,-,-,-,MEDICINA VETERINÁRIA
CIÊNCIA ANIMAL,30011019002P0,UNIVERSIDADE VILA VELHA,UVV,ES,3,-,-,-,MEDICINA VETERINÁRIA
CIÊNCIA ANIMAL,28007018007P1,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,BA,5,5,-,-,MEDICINA VETERINÁRIA
CIÊNCIA ANIMAL,23003014013P2,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,RN,5,5,-,-,MEDICINA VETERINÁRIA
CIÊNCIA ANIMAL,42046017005P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,RS,4,4,-,-,MEDICINA VETERINÁRIA
