Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
Alimentação e Nutrição,40001016074P7,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,3,-,-,-,NUTRIÇÃO
"ALIMENTAÇÃO, NUTRIÇÃO E SAÚDE",42001013172P4,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,3,-,-,-,NUTRIÇÃO
"ALIMENTAÇÃO, NUTRIÇÃO E SAÚDE",31004016052P7,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,4,4,-,-,NUTRIÇÃO
"ALIMENTOS, NUTRIÇÃO E SAÚDE",51005018173P1,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MS,A,-,-,-,NUTRIÇÃO
"ALIMENTOS, NUTRIÇÃO E SAÚDE",28001010047P9,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,4,4,-,-,NUTRIÇÃO
"Alimentos, Nutrição e Saúde",33009015088P9,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,3,-,-,-,NUTRIÇÃO
CIÊNCIA DA NUTRIÇÃO,32002017024P3,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,6,6,-,-,NUTRIÇÃO
CIÊNCIAS DA NUTRIÇÃO,24001015041P6,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,4,4,-,-,NUTRIÇÃO
CIÊNCIAS DA NUTRIÇÃO,32010010047P6,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,MG,A,-,-,-,NUTRIÇÃO
CIÊNCIAS DA NUTRIÇÃO,31003010171P3,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,3,-,-,-,NUTRIÇÃO
CIÊNCIAS DA NUTRIÇÃO,42015014014P7,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS,3,-,-,-,NUTRIÇÃO
CIÊNCIAS DA NUTRIÇÃO,27001016172P1,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,3,-,-,-,NUTRIÇÃO
CIÊNCIAS DA NUTRIÇÃO E DO ESPORTE E METABOLISMO,33003025002P4,"UNIVERSIDADE ESTADUAL DE CAMPINAS, LIMEIRA",UNICAMP-LI,SP,4,4,-,-,NUTRIÇÃO
NUTRIÇÃO,26001012020P4,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,3,-,-,-,NUTRIÇÃO
NUTRIÇÃO,41001010049P9,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,4,4,-,-,NUTRIÇÃO
NUTRIÇÃO,33009015041P2,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,6,6,-,-,NUTRIÇÃO
NUTRIÇÃO,31001017084P7,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,NUTRIÇÃO
NUTRIÇÃO,25001019028P2,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,5,5,-,-,NUTRIÇÃO
Nutrição,23001011075P5,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,3,-,-,-,NUTRIÇÃO
"Nutrição, alimentos e metabolismo",50001019019P4,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,3,-,-,-,NUTRIÇÃO
"Nutrição, Atividade Física e Plasticidade Fenotípica",25001019093P9,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,3,-,-,-,NUTRIÇÃO
Nutrição Clínica,31001017151P6,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,3,-,NUTRIÇÃO
NUTRIÇÃO DO NASCIMENTO À ADOLESCÊNCIA,33028010005P7,CENTRO UNIVERSITÁRIO SÃO CAMILO,CUSC,SP,-,-,3,-,NUTRIÇÃO
NUTRIÇÃO E ALIMENTOS,42003016035P0,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,4,4,-,-,NUTRIÇÃO
Nutrição e Alimentos,42007011026P6,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS,-,-,3,-,NUTRIÇÃO
NUTRIÇÃO E LONGEVIDADE,32011016046P2,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL,MG,A,-,-,-,NUTRIÇÃO
NUTRIÇÃO E METABOLISMO,33002029054P8,"UNIVERSIDADE DE SÃO PAULO, RIBEIRÃO PRETO",USP-RP,SP,4,4,-,-,NUTRIÇÃO
NUTRIÇÃO E SAÚDE,30001013103P9,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,3,-,-,-,NUTRIÇÃO
NUTRIÇÃO E SAÚDE,32004010040P5,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,3,-,-,-,NUTRIÇÃO
Nutrição e Saúde,22003010022P9,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,CE,3,-,-,-,NUTRIÇÃO
Nutrição e Saúde,52001016044P4,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,4,4,-,-,NUTRIÇÃO
Nutrição e Saúde,32001010099P7,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,3,-,-,-,NUTRIÇÃO
NUTRIÇÃO HUMANA,53001010049P2,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,NUTRIÇÃO
NUTRIÇÃO HUMANA APLICADA,33002010163P6,UNIVERSIDADE DE SÃO PAULO,USP,SP,3,-,-,-,NUTRIÇÃO
Saúde e Nutrição,32007019022P2,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG,4,4,-,-,NUTRIÇÃO
SEGURANÇA ALIMENTAR E NUTRICIONAL,31021018158P4,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ,-,-,A,-,NUTRIÇÃO
