Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 CIÊNCIAS ODONTOLÓGICAS,23009004004P6,CENTRO UNIVERSITÁRIO CHRISTUS,UNICHRISTUS,CE,3,-,-,-,ODONTOLOGIA
 CLÍNICA ODONTOLÓGICA ,23022000001P6,FACULDADE PAULO PICANÇO,FACPP,CE,-,-,A,-,ODONTOLOGIA
BIOLOGIA BUCO-DENTAL,33003033001P3,"UNIVERSIDADE ESTADUAL DE CAMPINAS, PIRACICABA",UNICAMP-PI,SP,5,5,-,-,ODONTOLOGIA
Biologia Oral,33002029048P8,"UNIVERSIDADE DE SÃO PAULO, RIBEIRÃO PRETO",USP-RP,SP,4,4,-,-,ODONTOLOGIA
BIOPATOLOGIA BUCAL,33004145081P0,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, SÃO JOSÉ DOS CAMPOS",UNESP-SJC,SP,5,5,-,-,ODONTOLOGIA
CIÊNCIA E TECNOLOGIA APLICADA À ODONTOLOGIA,33004145082P6,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, SÃO JOSÉ DOS CAMPOS",UNESP-SJC,SP,-,-,4,-,ODONTOLOGIA
Ciência Odontologica,33004021073P5,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ARAÇATUBA",UNESP-ARAÇ,SP,5,5,-,-,ODONTOLOGIA
CIÊNCIAS ODONTOLÓGICAS,23001011005P7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,4,4,-,-,ODONTOLOGIA
CIÊNCIAS ODONTOLÓGICAS,33002010077P2,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,ODONTOLOGIA
CIÊNCIAS ODONTOLÓGICAS,33004030010P2,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ARARAQUARA",UNESP-ARAR,SP,5,5,-,-,ODONTOLOGIA
CIÊNCIAS ODONTOLÓGICAS,42002010042P3,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,5,5,-,-,ODONTOLOGIA
CIÊNCIAS ODONTOLÓGICAS,30001013109P7,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,A,-,-,-,ODONTOLOGIA
Ciências Odontológicas,32011016009P0,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL,MG,3,-,-,-,ODONTOLOGIA
Ciências Odontológicas,33082014003P3,UNIVERSIDADE DE ARARAQUARA,UNIARA,SP,-,-,3,-,ODONTOLOGIA
Ciências Odontológicas Aplicadas,33002053010P7,FACULDADE DE ODONTOLOGIA DE BAURU - USP,USP-FOB,SP,6,6,-,-,ODONTOLOGIA
CIÊNCIAS ODONTOLÓGICAS INTEGRADAS,50008013004P1,UNIVERSIDADE DE CUIABÁ,UNIC,MT,-,4,-,-,ODONTOLOGIA
Ciências Odontológicas Integradas,50008013001P2,UNIVERSIDADE DE CUIABÁ,UNIC,MT,-,-,4,-,ODONTOLOGIA
CLÍNICA ODONTOLÓGICA,33003033008P8,"UNIVERSIDADE ESTADUAL DE CAMPINAS, PIRACICABA",UNICAMP-PI,SP,7,7,-,-,ODONTOLOGIA
CLÍNICA ODONTOLÓGICA,15013014003P6,CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ,CESUPA,PA,-,-,3,-,ODONTOLOGIA
Clínica Odontológica,31001017152P2,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,4,-,ODONTOLOGIA
"DIAGNÓSTICO BUCAL, RADIOLOGIA ODONTOLÓGICA E IMAGINOLOGIA",33002010138P1,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,ODONTOLOGIA
ESTOMATOPATOLOGIA,33003033009P4,"UNIVERSIDADE ESTADUAL DE CAMPINAS, PIRACICABA",UNICAMP-PI,SP,6,6,-,-,ODONTOLOGIA
GESTÃO E SAÚDE COLETIVA,33003033010P2,"UNIVERSIDADE ESTADUAL DE CAMPINAS, PIRACICABA",UNICAMP-PI,SP,-,-,5,-,ODONTOLOGIA
MATERIAIS DENTÁRIOS,33003033004P2,"UNIVERSIDADE ESTADUAL DE CAMPINAS, PIRACICABA",UNICAMP-PI,SP,6,6,-,-,ODONTOLOGIA
ODONTOLOGIA,22002014010P4,UNIVERSIDADE DE FORTALEZA,UNIFOR,CE,-,-,3,-,ODONTOLOGIA
ODONTOLOGIA,31035019006P7,UNIVERSIDADE DO GRANDE RIO - PROFESSOR JOSE DE SOUZA HERDY,UNIGRANRIO,RJ,-,4,-,-,ODONTOLOGIA
ODONTOLOGIA,33054010006P0,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,SP,3,-,-,-,ODONTOLOGIA
ODONTOLOGIA,42051010005P0,FACULDADE MERIDIONAL,IMED,RS,3,-,-,-,ODONTOLOGIA
ODONTOLOGIA,20009011040P0,UNIVERSIDADE CEUMA,UNICEUMA,MA,-,4,-,-,ODONTOLOGIA
ODONTOLOGIA,53001010110P3,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,31030017007P1,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,RJ,-,4,-,-,ODONTOLOGIA
ODONTOLOGIA,52006018002P1,CENTRO UNIVERSITÁRIO DE ANÁPOLIS,UNIEVANGELICA,GO,A,-,-,-,ODONTOLOGIA
ODONTOLOGIA,33076014007P2,UNIVERSIDADE DE SANTO AMARO,UNISA,SP,-,A,-,-,ODONTOLOGIA
ODONTOLOGIA,15001016039P6,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,20001010017P7,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,20009011001P4,UNIVERSIDADE CEUMA,UNICEUMA,MA,4,-,-,-,ODONTOLOGIA
ODONTOLOGIA,21001014028P1,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,3,-,-,-,ODONTOLOGIA
ODONTOLOGIA,22001018046P2,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,5,5,-,-,ODONTOLOGIA
ODONTOLOGIA,24004014010P2,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,PB,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,25001019058P9,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,25004018006P8,UNIVERSIDADE DE PERNAMBUCO,UPE,PE,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,28008014003P2,ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,EBMSP,BA,-,-,3,-,ODONTOLOGIA
ODONTOLOGIA,31001017059P2,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,ODONTOLOGIA
ODONTOLOGIA,31003010053P0,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,31004016008P8,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,ODONTOLOGIA
ODONTOLOGIA,31030017001P3,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,RJ,-,-,4,-,ODONTOLOGIA
ODONTOLOGIA,31035019001P5,UNIVERSIDADE DO GRANDE RIO - PROFESSOR JOSE DE SOUZA HERDY,UNIGRANRIO,RJ,4,-,-,-,ODONTOLOGIA
ODONTOLOGIA,32001010025P3,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,7,7,-,-,ODONTOLOGIA
ODONTOLOGIA,32006012016P6,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,6,6,-,-,ODONTOLOGIA
ODONTOLOGIA,32008015009P2,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC/MG,MG,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,32008015014P6,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC/MG,MG,-,-,5,-,ODONTOLOGIA
ODONTOLOGIA,32010010006P8,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,MG,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,32036019002P0,UNIVERSIDADE DE UBERABA,UNIUBE,MG,4,-,-,-,ODONTOLOGIA
ODONTOLOGIA,33002010141P2,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,ODONTOLOGIA
ODONTOLOGIA,33003033003P6,"UNIVERSIDADE ESTADUAL DE CAMPINAS, PIRACICABA",UNICAMP-PI,SP,7,7,-,-,ODONTOLOGIA
ODONTOLOGIA,33004021011P0,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ARAÇATUBA",UNESP-ARAÇ,SP,5,5,-,-,ODONTOLOGIA
ODONTOLOGIA,33004030059P1,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ARARAQUARA",UNESP-ARAR,SP,6,6,-,-,ODONTOLOGIA
ODONTOLOGIA,33021015001P3,UNIVERSIDADE DE TAUBATÉ,UNITAU,SP,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,33057010002P7,UNIVERSIDADE IBIRAPUERA,UNIB,SP,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,33063010002P3,UNIVERSIDADE PAULISTA,UNIP,SP,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,33076014001P4,UNIVERSIDADE DE SANTO AMARO,UNISA,SP,4,-,-,-,ODONTOLOGIA
ODONTOLOGIA,33078017001P7,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,SP,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,33114013001P8,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO,FHO,SP,-,-,4,-,ODONTOLOGIA
ODONTOLOGIA,33117012001P7,UNIVERSIDADE UNIVERSUS VERITAS GUARULHOS,UNIVERITAS UNG,SP,6,6,-,-,ODONTOLOGIA
ODONTOLOGIA,33119015001P0,CENTRO DE PESQUISAS ODONTOLÓGICAS SÃO LEOPOLDO MANDIC,SLMANDIC,SP,-,-,4,-,ODONTOLOGIA
ODONTOLOGIA,33119015002P6,CENTRO DE PESQUISAS ODONTOLÓGICAS SÃO LEOPOLDO MANDIC,SLMANDIC,SP,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,40001016065P8,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,4,4,-,-,ODONTOLOGIA
ODONTOLOGIA,40003019009P3,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUC/PR,PR,4,4,-,-,ODONTOLOGIA
