Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 PSICOLOGIA,42008018037P4,UNIVERSIDADE DE CAXIAS DO SUL,UCS,RS,-,-,A,-,PSICOLOGIA
ANÁLISE DO COMPORTAMENTO,40002012028P1,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,4,4,-,-,PSICOLOGIA
Análise do Comportamento Aplicada,33278016001P1,ASSOCIAÇÃO PARADIGMA CENTRO DE CIÊNCIAS E TECNOLOGIA DO COMPORTAMENTO,PARADIGMA,SP,-,-,4,-,PSICOLOGIA
ATENÇÃO PSICOSSOCIAL,31001017165P7,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,3,-,PSICOLOGIA
CIÊNCIAS DO COMPORTAMENTO,53001010068P7,UNIVERSIDADE DE BRASÍLIA,UNB,DF,4,4,-,-,PSICOLOGIA
Neurociência Cognitiva e Comportamento,24001015067P5,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,4,4,-,-,PSICOLOGIA
NEUROCIÊNCIAS E COMPORTAMENTO,33002010162P0,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,PSICOLOGIA
Neurociências e Comportamento,15001016084P1,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,3,-,-,-,PSICOLOGIA
PRÁTICAS E INOVAÇÃO EM SAÚDE MENTAL,25004018071P4,UNIVERSIDADE DE PERNAMBUCO,UPE,PE,-,-,3,-,PSICOLOGIA
PROGRAMA DE PÓS-GRADUAÇÃO EM PSICANÁLISE ,31004016159P6,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,-,-,3,-,PSICOLOGIA
PSICANÁLISE,31004016027P2,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,4,4,-,-,PSICOLOGIA
Psicanálise: Clínica e Cultura,42001013107P8,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,3,-,-,-,PSICOLOGIA
PSICOBIOLOGIA,33002029020P6,"UNIVERSIDADE DE SÃO PAULO, RIBEIRÃO PRETO",USP-RP,SP,6,6,-,-,PSICOLOGIA
PSICOBIOLOGIA,23001011003P4,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,6,6,-,-,PSICOLOGIA
Psicogerontologia,33281017001P9,INSTITUTO EDUCATIEHOOG DE ENSINO E PESQUISA LTDA,EDUCATIE,SP,-,-,3,-,PSICOLOGIA
PSICOLOGIA,32006012021P0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,4,-,-,-,PSICOLOGIA
PSICOLOGIA,32008015012P3,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC/MG,MG,5,5,-,-,PSICOLOGIA
PSICOLOGIA,32018010005P9,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,UFSJ,MG,4,4,-,-,PSICOLOGIA
PSICOLOGIA,33001014031P6,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,6,6,-,-,PSICOLOGIA
PSICOLOGIA,33002029030P1,"UNIVERSIDADE DE SÃO PAULO, RIBEIRÃO PRETO",USP-RP,SP,5,5,-,-,PSICOLOGIA
PSICOLOGIA,33004048021P6,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ASSIS",UNESP-ASSIS,SP,4,4,-,-,PSICOLOGIA
PSICOLOGIA,33006016002P8,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUCCAMP,SP,5,5,-,-,PSICOLOGIA
PSICOLOGIA,33050015005P8,UNIVERSIDADE SÃO FRANCISCO,USF,SP,7,7,-,-,PSICOLOGIA
PSICOLOGIA,40001016067P0,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,4,4,-,-,PSICOLOGIA
PSICOLOGIA,40004015028P4,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR,4,4,-,-,PSICOLOGIA
PSICOLOGIA,40020010004P6,UNIVERSIDADE TUIUTI DO PARANÁ,UTP,PR,3,-,-,-,PSICOLOGIA
PSICOLOGIA,41001010036P4,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,5,5,-,-,PSICOLOGIA
PSICOLOGIA,42001013047P5,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,7,7,-,-,PSICOLOGIA
PSICOLOGIA,42002010046P9,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,4,4,-,-,PSICOLOGIA
PSICOLOGIA,42005019006P2,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUC/RS,RS,6,6,-,-,PSICOLOGIA
PSICOLOGIA,42007011016P0,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS,5,5,-,-,PSICOLOGIA
PSICOLOGIA,51002019004P6,UNIVERSIDADE CATÓLICA DOM BOSCO,UCDB,MS,4,4,-,-,PSICOLOGIA
PSICOLOGIA,52002012001P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC-GOIÁS,GO,4,4,-,-,PSICOLOGIA
PSICOLOGIA,53003012002P5,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,DF,5,5,-,-,PSICOLOGIA
PSICOLOGIA,10001018009P6,UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,RO,3,-,-,-,PSICOLOGIA
PSICOLOGIA,25020013009P5,UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,PE,3,-,-,-,PSICOLOGIA
PSICOLOGIA,32012012070P7,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,MG,3,-,-,-,PSICOLOGIA
PSICOLOGIA,51005018101P0,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MS,3,-,-,-,PSICOLOGIA
PSICOLOGIA,21001014079P5,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,3,-,-,-,PSICOLOGIA
PSICOLOGIA,42051010006P6,FACULDADE MERIDIONAL,IMED,RS,3,-,-,-,PSICOLOGIA
PSICOLOGIA,50001019171P0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,3,-,-,-,PSICOLOGIA
PSICOLOGIA,33057010004P0,UNIVERSIDADE IBIRAPUERA,UNIB,SP,3,-,-,-,PSICOLOGIA
PSICOLOGIA,40002012173P1,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR,3,-,-,-,PSICOLOGIA
PSICOLOGIA,42004012160P5,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,A,-,-,-,PSICOLOGIA
PSICOLOGIA,42020018009P3,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,RS,-,-,A,-,PSICOLOGIA
PSICOLOGIA,32005016025P9,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,5,5,-,-,PSICOLOGIA
PSICOLOGIA,32001010041P9,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,5,5,-,-,PSICOLOGIA
PSICOLOGIA,31025013004P2,UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,RJ,5,5,-,-,PSICOLOGIA
PSICOLOGIA,31019013003P0,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP-RJ,RJ,3,-,-,-,PSICOLOGIA
PSICOLOGIA,31003010043P5,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,PSICOLOGIA
PSICOLOGIA,31001017098P8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,PSICOLOGIA
PSICOLOGIA,30001013006P3,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,5,5,-,-,PSICOLOGIA
PSICOLOGIA,28001010044P0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,6,6,-,-,PSICOLOGIA
PSICOLOGIA,25001019066P1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,4,4,-,-,PSICOLOGIA
PSICOLOGIA,23001011025P8,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,5,5,-,-,PSICOLOGIA
PSICOLOGIA,22002014005P0,UNIVERSIDADE DE FORTALEZA,UNIFOR,CE,4,4,-,-,PSICOLOGIA
PSICOLOGIA,22001018043P3,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,4,4,-,-,PSICOLOGIA
PSICOLOGIA,20001010027P2,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,3,-,-,-,PSICOLOGIA
PSICOLOGIA,42041015012P4,UNIVERSIDADE FEEVALE,FEEVALE,RS,A,-,-,-,PSICOLOGIA
PSICOLOGIA,12001015036P9,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,3,-,-,-,PSICOLOGIA
PSICOLOGIA,15001016045P6,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,PSICOLOGIA
Psicologia,52001016071P1,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO,3,-,-,-,PSICOLOGIA
Psicologia,26001012032P2,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,AL,3,-,-,-,PSICOLOGIA
Psicologia,27001016022P0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,4,4,-,-,PSICOLOGIA
Psicologia,31002013027P0,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,4,4,-,-,PSICOLOGIA
Psicologia,51001012032P3,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,3,-,-,-,PSICOLOGIA
Psicologia,53005015002P8,CENTRO UNIVERSITÁRIO DE BRASÍLIA,UNICEUB,DF,4,-,-,-,PSICOLOGIA
Psicologia,41005015013P6,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,SC,-,-,A,-,PSICOLOGIA
PSICOLOGIA CLÍNICA,25002015001P3,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,PE,4,4,-,-,PSICOLOGIA
PSICOLOGIA CLÍNICA,33002010039P3,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,PSICOLOGIA
PSICOLOGIA CLÍNICA E CULTURA,53001010064P1,UNIVERSIDADE DE BRASÍLIA,UNB,DF,5,5,-,-,PSICOLOGIA
PSICOLOGIA: COGNIÇÃO E COMPORTAMENTO,32001010173P2,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,4,4,-,-,PSICOLOGIA
PSICOLOGIA COGNITIVA,25001019018P7,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE,4,4,-,-,PSICOLOGIA
PSICOLOGIA DA SAÚDE,28001010173P4,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,-,-,A,-,PSICOLOGIA
PSICOLOGIA DA SAÚDE,25025015002P2,FACULDADE PERNAMBUCANA DE SAÚDE,FPS,PE,-,-,3,-,PSICOLOGIA
PSICOLOGIA DA SAÚDE,33017018002P6,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,SP,4,4,-,-,PSICOLOGIA
Psicologia da Saúde,24004014018P3,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,PB,3,-,-,-,PSICOLOGIA
PSICOLOGIA DESENVOLVIMENTO E POLÍTICAS PÚBLICAS,33020019006P9,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,SP,-,-,3,-,PSICOLOGIA
PSICOLOGIA DO DESENVOLVIMENTO E APRENDIZAGEM,33004056085P0,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BAURU",UNESP-BAURU,SP,4,4,-,-,PSICOLOGIA
Psicologia do Desenvolvimento e Escolar,53001010062P9,UNIVERSIDADE DE BRASÍLIA,UNB,DF,5,5,-,-,PSICOLOGIA
PSICOLOGIA E INTERVENÇÕES EM SAÚDE,28008014005P5,ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,EBMSP,BA,-,-,A,-,PSICOLOGIA
PSICOLOGIA E POLÍTICAS PÚBLICAS,22001018176P3,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,-,-,A,-,PSICOLOGIA
PSICOLOGIA E SAÚDE,42015014012P4,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS,3,-,-,-,PSICOLOGIA
Psicologia e Saúde,33031010003P8,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,SP,3,-,-,-,PSICOLOGIA
PSICOLOGIA EDUCACIONAL,33079013002P0,CENTRO UNIVERSITÁRIO FIEO,UNIFIEO,SP,4,4,-,-,PSICOLOGIA
PSICOLOGIA ESCOLAR E DO DESENVOLVIMENTO HUMANO,33002010038P7,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,PSICOLOGIA
PSICOLOGIA EXPERIMENTAL: ANÁLISE DO COMPORTAMENTO,33005010026P1,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUC/SP,SP,4,4,-,-,PSICOLOGIA
PSICOLOGIA INSTITUCIONAL,30001013028P7,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,-,-,-,PSICOLOGIA
PSICOLOGIA ORGANIZACIONAL E DO TRABALHO,23004010005P6,UNIVERSIDADE POTIGUAR,UNP,RN,-,-,3,-,PSICOLOGIA
PSICOLOGIA (PSICOLOGIA CLÍNICA),33005010014P3,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUC/SP,SP,4,4,-,-,PSICOLOGIA
PSICOLOGIA (PSICOLOGIA CLÍNICA),31005012009P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,5,5,-,-,PSICOLOGIA
PSICOLOGIA (PSICOLOGIA EXPERIMENTAL),33002010037P0,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,PSICOLOGIA
PSICOLOGIA (PSICOLOGIA SOCIAL),33005010013P7,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUC/SP,SP,4,4,-,-,PSICOLOGIA
PSICOLOGIA SOCIAL,33002010040P1,UNIVERSIDADE DE SÃO PAULO,USP,SP,4,4,-,-,PSICOLOGIA
PSICOLOGIA SOCIAL,31004016013P1,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,PSICOLOGIA
Psicologia Social,24001015063P0,"UNIVERSIDADE FEDERAL DA PARAÍBA, JOÃO PESSOA",UFPB-JP,PB,5,5,-,-,PSICOLOGIA
"PSICOLOGIA SOCIAL, DO TRABALHO E DAS ORGANIZAÇÕES (PSTO)",53001010065P8,UNIVERSIDADE DE BRASÍLIA,UNB,DF,6,6,-,-,PSICOLOGIA
PSICOLOGIA SOCIAL E INSTITUCIONAL,42001013064P7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,5,5,-,-,PSICOLOGIA
PSICOLOGIA (TEORIA E PESQUISA DO COMPORTAMENTO),15001016009P0,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,5,5,-,-,PSICOLOGIA
PSICOSSOCIOLOGIA DE COMUNID.E ECOLOGIA SOCIAL,31001017101P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,4,4,-,-,PSICOLOGIA
TEORIA PSICANALÍTICA,31001017097P1,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,PSICOLOGIA
TERAPIA COGNITIVO COMPORTAMENTAL,31025013005P9,UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,RJ,-,-,3,-,PSICOLOGIA
