Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
CIÊNCIA E TECNOLOGIA,33144010003P0,UNIVERSIDADE FEDERAL DO ABC,UFABC,SP,5,5,-,-,QUÍMICA
CIÊNCIAS,33093016004P8,UNIVERSIDADE DE FRANCA,UNIFRAN,SP,5,5,-,-,QUÍMICA
CIÊNCIAS MOLECULARES,52012018001P1,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,GO,3,-,-,-,QUÍMICA
DESENVOLVIMENTO SUSTENTÁVEL,28023013066P6,CENTRO UNIVERSITÁRIO SENAI CIMATEC,SENAI-CIMATEC,BA,-,-,A,-,QUÍMICA
Multicêntrico em Química de Minas Gerais,32005016039P0,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,4,4,-,-,QUÍMICA
QUIMICA,15025012071P6,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,PA,3,-,-,-,QUÍMICA
QUIMICA,28006011003P0,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,BA,3,-,-,-,QUÍMICA
QUIMICA,33002010191P0,UNIVERSIDADE DE SÃO PAULO,USP,SP,7,7,-,-,QUÍMICA
QUIMICA,25003011020P4,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,4,4,-,-,QUÍMICA
QUÍMICA,31001017006P6,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,6,6,-,-,QUÍMICA
QUÍMICA,31002013001P0,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ,5,5,-,-,QUÍMICA
QUÍMICA,31003010027P0,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,6,6,-,-,QUÍMICA
QUÍMICA,31004016037P8,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,4,4,-,-,QUÍMICA
QUÍMICA,31005012005P5,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,5,5,-,-,QUÍMICA
QUÍMICA,31007015003P5,INSTITUTO MILITAR DE ENGENHARIA,IME,RJ,4,4,-,-,QUÍMICA
QUÍMICA,32001010005P2,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,7,7,-,-,QUÍMICA
