Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
ATENÇÃO PRIMÁRIA À SAÚDE,31001017163P4,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,-,-,3,-,SAÚDE COLETIVA
Avaliação de tecnologias em saúde,31073018002P6,INSTITUTO NACIONAL DE CARDIOLOGIA,INC,RJ,-,-,3,-,SAÚDE COLETIVA
AVALIAÇÃO DE TECNOLOGIAS PARA O SUS,43001009001P2,HOSPITAL NOSSA SENHORA CONCEIÇÃO,GHC,RS,-,-,3,-,SAÚDE COLETIVA
Avaliação em Saúde,25005014002P9,INSTITUTO DE MEDICINA INTEGRAL PROFESSOR FERNANDO FIGUEIRA,IMIP,PE,-,-,4,-,SAÚDE COLETIVA
"BIOÉTICA, ÉTICA APLICADA E SAÚDE COLETIVA",31001017141P0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,4,4,-,-,SAÚDE COLETIVA
CONDIÇÕES DE VIDA E SITUAÇÕES DE SAÚDE NA AMAZÔNIA,13009001040P4,CENTRO DE PESQUISA LEÔNIDAS E MARIA DEANE - FIOCRUZ,CPQLMD,AM,3,-,-,-,SAÚDE COLETIVA
Ensino em Saúde,32010010008P0,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,MG,-,-,3,-,SAÚDE COLETIVA
Ensino na Saúde,42001013103P2,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,-,-,3,-,SAÚDE COLETIVA
ENTOMOLOGIA EM SAÚDE PÚBLICA ,33002010246P9,UNIVERSIDADE DE SÃO PAULO,USP,SP,-,-,4,-,SAÚDE COLETIVA
EPIDEMIOLOGIA,42003016011P3,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS,7,7,-,-,SAÚDE COLETIVA
EPIDEMIOLOGIA,42001013074P2,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,6,6,-,-,SAÚDE COLETIVA
Epidemiologia,33002010242P3,UNIVERSIDADE DE SÃO PAULO,USP,SP,-,5,-,-,SAÚDE COLETIVA
EPIDEMIOLOGIA E VIGILÂNCIA EM SAÚDE,15012018002P3,INSTITUTO EVANDRO CHAGAS,IEC,PA,3,-,-,-,SAÚDE COLETIVA
EPIDEMIOLOGIA EM SAÚDE PÚBLICA,31010016019P6,FUNDAÇÃO OSWALDO CRUZ - FIOCRUZ,FIOCRUZ,RJ,6,6,-,-,SAÚDE COLETIVA
Epidemiologia em Saúde Pública,31010016024P0,FUNDAÇÃO OSWALDO CRUZ - FIOCRUZ,FIOCRUZ,RJ,-,-,5,-,SAÚDE COLETIVA
Gestão da clínica,33001014038P0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP,-,-,3,-,SAÚDE COLETIVA
Gestão da Qualidade em Serviços de Saúde,23001011072P6,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,-,-,3,-,SAÚDE COLETIVA
Gestão de Organizações de Saúde,33002029046P5,"UNIVERSIDADE DE SÃO PAULO, RIBEIRÃO PRETO",USP-RP,SP,-,-,4,-,SAÚDE COLETIVA
Gestão de Programas e Serviços de Saúde,20009011003P7,UNIVERSIDADE CEUMA,UNICEUMA,MA,-,-,3,-,SAÚDE COLETIVA
GESTÃO DE SERVIÇOS DE SAÚDE,32001010176P1,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,-,-,3,-,SAÚDE COLETIVA
GESTÃO DE TECNOLOGIA E INOVAÇÃO EM SAÚDE,33160015001P1,INSTITUTO SÍRIO-LIBANÊS DE ENSINO E PESQUISA,IEP,SP,-,-,3,-,SAÚDE COLETIVA
GESTÃO E INOVAÇÃO TECNOLÓGICA EM SAÚDE,27001016179P6,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE,FUFSE,SE,-,-,A,-,SAÚDE COLETIVA
GESTÃO EM SAÚDE,22003010071P0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,CE,-,-,3,-,SAÚDE COLETIVA
"Gestão, trabalho, educação e saúde",23001011178P9,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN,-,-,A,-,SAÚDE COLETIVA
NUTRIÇÃO EM SAÚDE PÚBLICA,33002010199P0,UNIVERSIDADE DE SÃO PAULO,USP,SP,6,6,-,-,SAÚDE COLETIVA
POLÍTICAS PÚBLICAS EM SAÚDE,53044002001P7,ESCOLA DE GOVERNO EM SAÚDE - DIRETORIA REGIONAL DE BRASÍLIA FIOCRUZ,EGS,DF,-,-,3,-,SAÚDE COLETIVA
Promoção de Saúde e Prevenção da Violência,32001010090P0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,-,-,4,-,SAÚDE COLETIVA
SAÚDE AMBIENTAL E SAÚDE DO TRABALHADOR,32006012073P0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG,-,-,3,-,SAÚDE COLETIVA
"Saúde, Ambiente e Sociedade na Amazônia",15001016079P8,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,3,-,-,-,SAÚDE COLETIVA
"SAÚDE, AMBIENTE E TRABALHO",28001010060P5,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,3,-,-,-,SAÚDE COLETIVA
SAUDE COLETIVA,50001019010P7,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,4,4,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,11001011005P3,UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC,4,4,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,20001010015P4,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,5,5,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,22002014004P4,UNIVERSIDADE DE FORTALEZA,UNIFOR,CE,4,4,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,22003010004P0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,CE,4,4,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,28001010013P7,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,7,7,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,28001010051P6,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA,-,-,5,-,SAÚDE COLETIVA
SAÚDE COLETIVA,28002016004P0,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,BA,4,4,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,28002016014P6,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,BA,-,-,3,-,SAÚDE COLETIVA
SAÚDE COLETIVA,30001013018P1,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,5,5,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,31001017111P4,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ,5,5,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,31003010061P3,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,-,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,31004016004P2,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,6,6,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,31004016042P1,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,-,-,4,-,SAÚDE COLETIVA
SAÚDE COLETIVA,32005016021P3,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,4,4,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,33003017058P4,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,5,5,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,33004064078P9,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BOTUCATU",UNESP-BOT,SP,3,3,-,-,SAÚDE COLETIVA
SAÚDE COLETIVA,33009015067P1,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,4,4,-,-,SAÚDE COLETIVA
