Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
 SOCIOLOGIA,31004016060P0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,6,6,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,20001010011P9,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,4,4,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,42007011011P9,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS,4,4,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,42005019030P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUC/RS,RS,5,5,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,42002010041P7,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS,4,4,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,33009015073P1,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP,4,4,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,33005010006P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUC/SP,SP,3,3,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,33004110042P8,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, MARÍLIA",UNESP-MAR,SP,4,4,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,33003017039P0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP,-,4,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,32008015007P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC/MG,MG,5,5,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,32005016011P8,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG,4,4,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,31005012030P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ,4,4,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,31004016020P8,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ,5,5,-,-,SOCIOLOGIA
CIÊNCIAS SOCIAIS,30001013035P3,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,4,4,-,-,SOCIOLOGIA
