Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
ECONOMIA DOMÉSTICA,32002017019P0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG,4,4,-,-,SERVIÇO SOCIAL
POLÍTICA SOCIAL,31003010049P3,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ,4,4,-,-,SERVIÇO SOCIAL
POLÍTICA SOCIAL,30001013020P6,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES,5,5,-,-,SERVIÇO SOCIAL
POLÍTICA SOCIAL,53001010035P1,UNIVERSIDADE DE BRASÍLIA,UNB,DF,6,6,-,-,SERVIÇO SOCIAL
POLÍTICA SOCIAL,50001019023P1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,3,-,-,-,SERVIÇO SOCIAL
Política Social e Direitos Humanos,42006015005P2,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,RS,4,4,-,-,SERVIÇO SOCIAL
POLÍTICA SOCIAL E SERVIÇO SOCIAL,42001013158P1,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS,3,-,-,-,SERVIÇO SOCIAL
Política Social e Territórios,28022017015P6,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,BA,A,-,-,-,SERVIÇO SOCIAL
POLÍTICAS PÚBLICAS,20001010003P6,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,6,6,-,-,SERVIÇO SOCIAL
POLÍTICAS PÚBLICAS,21001014005P1,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,4,4,-,-,SERVIÇO SOCIAL
POLÍTICAS PÚBLICAS E DESENVOLVIMENTO LOCAL,30013011001P6,ESCOLA SUPERIOR DE CIÊNCIA DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA,EMESCAM,ES,3,-,-,-,SERVIÇO SOCIAL
SERVIÇO SOCIAL,33005010020P3,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUC/SP,SP,7,7,-,-,SERVIÇO SOCIAL
SERVIÇO SOCIAL,41001010047P6,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,5,5,-,-,SERVIÇO SOCIAL
