"","id.file","name","inicio","fim","uf"
"1","0060989785573065.zip","Francisco Cláudio Lopes de Freitas",2001,2002,"Universidade Federal de Viçosa"
"2","0060989785573065.zip","Francisco Cláudio Lopes de Freitas",2006,2006,"Universidade Vale do Rio Doce"
"3","0060989785573065.zip","Francisco Cláudio Lopes de Freitas",2006,2014,"Universidade Federal Rural do Semi-Árido"
"4","0060989785573065.zip","Francisco Cláudio Lopes de Freitas",2005,NA,"Planta Daninha"
"5","0060989785573065.zip","Francisco Cláudio Lopes de Freitas",2007,NA,"Revista Caatinga"
"6","0060989785573065.zip","Francisco Cláudio Lopes de Freitas",2011,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"7","0060989785573065.zip","Francisco Cláudio Lopes de Freitas",2014,2019,"Planta Daninha (Impresso)"
"8","0272708416971499.zip","Armando Bergamin Filho",1974,NA,"Universidade de São Paulo"
"9","0272708416971499.zip","Armando Bergamin Filho",2018,NA,"ESALQ/ USP"
"10","0406123914624749.zip","Dario Munt de Moraes",1980,NA,"Universidade Federal de Pelotas"
"11","0406123914624749.zip","Dario Munt de Moraes",2008,NA,"Pesquisa Agropecuária Brasileira"
"12","0406123914624749.zip","Dario Munt de Moraes",2008,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"13","0406123914624749.zip","Dario Munt de Moraes",2010,NA,"Revista de Ciências Agroveterinárias (UDESC)"
"14","0406123914624749.zip","Dario Munt de Moraes",2010,NA,"Ciência Rural (UFSM. Impresso)"
"15","0406123914624749.zip","Dario Munt de Moraes",2011,NA,"Iheringia. Série Botânica"
"16","0406123914624749.zip","Dario Munt de Moraes",2010,NA,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior"
"17","0406123914624749.zip","Dario Munt de Moraes",2011,NA,"Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul"
"18","0406123914624749.zip","Dario Munt de Moraes",2012,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"19","0406123914624749.zip","Dario Munt de Moraes",2012,NA,"Acta Botanica Brasílica (Impresso)"
"20","1635430078801792.zip","Marcio Balestre",2009,NA,"Universidade Federal de Lavras"
"21","1635430078801792.zip","Marcio Balestre",2010,NA,"Australian Journal of Agricultural Research (Print)"
"22","1635430078801792.zip","Marcio Balestre",2010,NA,"Journal of Agricultural Biotechnology and Suitaible Development"
"23","1635430078801792.zip","Marcio Balestre",2010,NA,"Scientia Agrícola (USP. Impresso)"
"24","1635430078801792.zip","Marcio Balestre",2011,NA,"Crop Breeding and Applied Biotechnology (Impresso)"
"25","1635430078801792.zip","Marcio Balestre",2010,NA,"Molecular Breeding"
"26","1635430078801792.zip","Marcio Balestre",2011,NA,"Electronic Journal of Biotechnology"
"27","1635430078801792.zip","Marcio Balestre",2018,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"28","1959399746284558.zip","Adriano Jakelaitis",1997,1999,"Usina Açucareira Ester S/A"
"29","1959399746284558.zip","Adriano Jakelaitis",1999,2005,"Universidade Federal de Viçosa"
"30","1959399746284558.zip","Adriano Jakelaitis",2005,2006,"Universidade Federal de Rondônia"
"31","1959399746284558.zip","Adriano Jakelaitis",2000,NA,"Planta Daninha (Impresso)"
"32","1959399746284558.zip","Adriano Jakelaitis",2010,NA,"Global Science and Technology"
"33","1959399746284558.zip","Adriano Jakelaitis",2013,2013,"Fundação de Amparo a Pesquisa do Estado de Goiás"
"34","1959399746284558.zip","Adriano Jakelaitis",2009,NA,"Instituto Federal de Educação, Ciência e Tecnologia Goiano"
"35","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",1997,1997,"Universidade de Brasília"
"36","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",1989,1992,"Empresa Brasileira de Pesquisa Agropecuária"
"37","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2000,2007,"Fitopatologia Brasileira"
"38","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2008,NA,"Brazilian Journal of Microbiology"
"39","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2008,2010,"Fitopatologia Brasileira"
"40","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2011,NA,"Pesquisa Agropecuária Brasileira (Online)"
"41","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2011,NA,"Horticultura Brasileira (Impresso)"
"42","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2007,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"43","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2015,NA,"Fundação de Apoio à Pesquisa do Distrito Federal"
"44","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2018,2018,"Fundação de Amparo à Pesquisa do Estado de Minas Gerais"
"45","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2010,2010,"JOURNAL OF PHYTOPATHOLOGY"
"46","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2019,NA,"EUROPEAN JOURNAL OF PLANT PATHOLOGY"
"47","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2017,2017,"REVISAO ANUAL DE PATOLOGIA DE PLANTAS"
"48","2086301050707005.zip","Marisa Alvares da Silva Velloso Ferreira",2019,NA,"JOURNAL OF PHYTOPATHOLOGY"
"49","2237448778462839.zip","Ana Cristina Fermino Soares",1987,1988,"University of Arizona"
"50","2237448778462839.zip","Ana Cristina Fermino Soares",1993,1994,"Centro de Pesquisa Agropecuária do Trópico Semi Árido"
"51","2237448778462839.zip","Ana Cristina Fermino Soares",1998,1999,"Centro Nacional de Pesquisa de Mandioca e Fruticul Tura Tropical"
"52","2237448778462839.zip","Ana Cristina Fermino Soares",1999,2000,"Universidade Federal da Bahia"
"53","2237448778462839.zip","Ana Cristina Fermino Soares",2006,NA,"Universidade Federal do Recôncavo da Bahia"
"54","2237448778462839.zip","Ana Cristina Fermino Soares",2005,NA,"Magistra"
"55","2237448778462839.zip","Ana Cristina Fermino Soares",2007,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"56","2237448778462839.zip","Ana Cristina Fermino Soares",2006,NA,"Fundação de Amparo à Pesquisa do Estado da Bahia"
"57","2237448778462839.zip","Ana Cristina Fermino Soares",2014,NA,"Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco"
"58","2237448778462839.zip","Ana Cristina Fermino Soares",2014,NA,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior"
"59","2237448778462839.zip","Ana Cristina Fermino Soares",2015,NA,"Annals of Applied Biology"
"60","2237448778462839.zip","Ana Cristina Fermino Soares",2015,NA,"FEMS Microbiology Letters"
"61","2237448778462839.zip","Ana Cristina Fermino Soares",2015,NA,"Universidade de Integração Internacional de Lusofonia Afro-Brasileira"
"62","2237448778462839.zip","Ana Cristina Fermino Soares",2017,NA,"TROPICAL PLANT PATHOLOGY"
"63","2237448778462839.zip","Ana Cristina Fermino Soares",2017,NA,"Fundação de Amparo à Pesquisa do Estado de Minas Gerais"
"64","2493049947306479.zip","Pedro Takao Yamamoto",1996,2010,"Fundo de Defesa da Citricultura"
"65","2493049947306479.zip","Pedro Takao Yamamoto",2000,2001,"University of California System"
"66","2493049947306479.zip","Pedro Takao Yamamoto",2006,NA,"HFF & Citrus"
"67","2493049947306479.zip","Pedro Takao Yamamoto",2004,NA,"Revista Brasileira de Fruticultura"
"68","2493049947306479.zip","Pedro Takao Yamamoto",2005,NA,"Neotropical Entomology"
"69","2493049947306479.zip","Pedro Takao Yamamoto",1996,NA,"Laranja"
"70","2493049947306479.zip","Pedro Takao Yamamoto",2006,NA,"Pesquisa Agropecuária Brasileira"
"71","2493049947306479.zip","Pedro Takao Yamamoto",2007,NA,"Acta Scientiarum. Agronomy"
"72","2493049947306479.zip","Pedro Takao Yamamoto",2007,NA,"Bragantia (São Paulo)"
"73","2493049947306479.zip","Pedro Takao Yamamoto",2007,NA,"Arquivos do Instituto Biológico"
"74","2493049947306479.zip","Pedro Takao Yamamoto",2009,NA,"Laranja"
"75","2493049947306479.zip","Pedro Takao Yamamoto",2010,NA,"Universidade de São Paulo"
"76","2493049947306479.zip","Pedro Takao Yamamoto",2012,NA,"BioAssay (Piracicaba)"
"77","2493049947306479.zip","Pedro Takao Yamamoto",2003,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"78","2493049947306479.zip","Pedro Takao Yamamoto",2017,NA,"Estación Experimental Agroindustrial Obispo Colombres"
"79","2493049947306479.zip","Pedro Takao Yamamoto",2015,NA,"Estação Experimental de Citricultura de Bebedouro"
"80","2664659658189146.zip","Vanessa Merlo Kava",1995,NA,"Universidade Federal do Paraná"
"81","2664659658189146.zip","Vanessa Merlo Kava",1986,1986,"Instituto de Tecnologia do Paraná"
"82","2664659658189146.zip","Vanessa Merlo Kava",1989,1990,"Novo Nordisk Bioindustrial do Brasil Ltda."
"83","2664659658189146.zip","Vanessa Merlo Kava",2009,NA,"Revista do Instituto Adolfo Lutz (Impresso)"
"84","2664659658189146.zip","Vanessa Merlo Kava",2010,NA,"Brazilian Journal of Biology (Online)"
"85","2664659658189146.zip","Vanessa Merlo Kava",2009,NA,"Acta Scientiarum. Biological Sciences (Online)"
"86","2664659658189146.zip","Vanessa Merlo Kava",2013,NA,"Brazilian Journal of Microbiology (Impresso)"
"87","2664659658189146.zip","Vanessa Merlo Kava",2006,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"88","2664659658189146.zip","Vanessa Merlo Kava",2014,NA,"Fundação de Amparo a Pesquisa do Estado do Amazonas"
"89","2664659658189146.zip","Vanessa Merlo Kava",2010,NA,"Fundação de Apoio e Desenvolvimento do Ensino, Ciência e Tecnologia do MS"
"90","2664659658189146.zip","Vanessa Merlo Kava",2016,NA,"Microbial Pathogenesis"
"91","2664659658189146.zip","Vanessa Merlo Kava",2016,NA,"Journal of Applied Pharmaceutical Science"
"92","2664659658189146.zip","Vanessa Merlo Kava",2015,NA,"Biochimie Open"
"93","2664659658189146.zip","Vanessa Merlo Kava",2017,NA,"Fundação Araucária de Apoio ao Desenvolvimento Científico e Tecnológico"
"94","2664659658189146.zip","Vanessa Merlo Kava",2019,NA,"BIOLOGICAL CONTROL"
"95","2664659658189146.zip","Vanessa Merlo Kava",2018,NA,"JOURNAL OF PHYTOPATHOLOGY"
"96","2664659658189146.zip","Vanessa Merlo Kava",2018,NA,"Empresa Brasileira de Pesquisa Agropecuária"
"97","3555567955507382.zip","Fabio Lopes Olivares",1993,1997,"Universidade Federal Rural do Rio de Janeiro"
"98","3555567955507382.zip","Fabio Lopes Olivares",1998,1998,"Empresa Brasileira de Pesquisa Agropecuária"
"99","3555567955507382.zip","Fabio Lopes Olivares",2004,2005,"New Phytologist"
"100","3555567955507382.zip","Fabio Lopes Olivares",2002,NA,"Plant and Soil"
"101","3555567955507382.zip","Fabio Lopes Olivares",2001,NA,"Pesquisa Agropecuária Brasileira"
"102","3555567955507382.zip","Fabio Lopes Olivares",2003,2005,"Journal of Experimental Botany"
"103","3555567955507382.zip","Fabio Lopes Olivares",2006,NA,"Antonie van Leeuwenhoek"
"104","3555567955507382.zip","Fabio Lopes Olivares",2007,2015,"Agronomia (UFRRJ)"
"105","3555567955507382.zip","Fabio Lopes Olivares",2007,NA,"Revista Brasileira de Agrociência"
"106","3555567955507382.zip","Fabio Lopes Olivares",2008,NA,"World Journal of Microbiology and Biotechnology"
"107","3555567955507382.zip","Fabio Lopes Olivares",2007,NA,"Brazilian Journal of Microbiology"
"108","3555567955507382.zip","Fabio Lopes Olivares",2006,NA,"Agronomia (UFRRJ)"
"109","3555567955507382.zip","Fabio Lopes Olivares",2008,NA,"Journal of Plant Physiology"
"110","3555567955507382.zip","Fabio Lopes Olivares",2009,NA,"Brazilian Journal of Plant Physiology"
"111","3555567955507382.zip","Fabio Lopes Olivares",2009,NA,"Physiology and Molecular Biology of Plants"
"112","3555567955507382.zip","Fabio Lopes Olivares",2010,NA,"Microbial Ecology"
"113","3555567955507382.zip","Fabio Lopes Olivares",2010,NA,"European Journal of Forest Reserach"
"114","3555567955507382.zip","Fabio Lopes Olivares",2011,NA,"Annals of Botany (Print)"
"115","3555567955507382.zip","Fabio Lopes Olivares",1999,2002,"Universidade Estadual do Norte Fluminense Darcy Ribeiro"
"116","3555567955507382.zip","Fabio Lopes Olivares",2012,NA,"European Journal of Soil Biology"
"117","3555567955507382.zip","Fabio Lopes Olivares",2013,2016,"Revista Brasileira de Ciência do Solo (Impresso)"
"118","3555567955507382.zip","Fabio Lopes Olivares",2000,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"119","3555567955507382.zip","Fabio Lopes Olivares",2007,NA,"Coordenação de Aperfeiçoamento de Pessoal de Ensino de Nível Superior"
"120","3555567955507382.zip","Fabio Lopes Olivares",2008,NA,"Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do RJ"
"121","3555567955507382.zip","Fabio Lopes Olivares",2013,NA,"Scientia Agrícola (USP. Impresso)"
"122","3555567955507382.zip","Fabio Lopes Olivares",2014,NA,"Chemical and Biological Technologies for Agriculture"
"123","3555567955507382.zip","Fabio Lopes Olivares",2007,2007,"Fundação de Amparo à Pesquisa do Estado de Minas Gerais"
"124","3555567955507382.zip","Fabio Lopes Olivares",2002,NA,"Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco"
"125","3555567955507382.zip","Fabio Lopes Olivares",2010,NA,"Fundação de Amparo à Pesquisa do Espírito Santo"
"126","3555567955507382.zip","Fabio Lopes Olivares",2014,NA,"Acta Amazonica (Impresso)"
"127","3555567955507382.zip","Fabio Lopes Olivares",2014,NA,"Anais da Academia Brasileira de Ciências (Impresso)"
"128","3555567955507382.zip","Fabio Lopes Olivares",2014,NA,"Revista Argentina de Microbiología"
"129","3555567955507382.zip","Fabio Lopes Olivares",2015,NA,"Bragantia (São Paulo, SP. Impresso)"
"130","3555567955507382.zip","Fabio Lopes Olivares",2015,NA,"Bioresource Technology"
"131","3555567955507382.zip","Fabio Lopes Olivares",2015,NA,"Annals of Microbiology"
"132","3555567955507382.zip","Fabio Lopes Olivares",2007,NA,"Revista Brasileira de Ciência do Solo (Impresso)"
"133","3555567955507382.zip","Fabio Lopes Olivares",2014,NA,"Chemical and Biological Technologies in Agriculture"
"134","3555567955507382.zip","Fabio Lopes Olivares",2015,NA,"Micron (Oxford. 1993)"
"135","3555567955507382.zip","Fabio Lopes Olivares",2015,NA,"Plant Molecular Biology"
"136","3555567955507382.zip","Fabio Lopes Olivares",2015,NA,"Applied Soil Ecology (Print)"
"137","3555567955507382.zip","Fabio Lopes Olivares",2015,NA,"Plant Physiology and Biochemistry (Paris)"
"138","3555567955507382.zip","Fabio Lopes Olivares",2015,NA,"Fundação de Amparo à Pesquisa do Estado de São Paulo"
"139","3555567955507382.zip","Fabio Lopes Olivares",2016,NA,"Universidade Federal do Paraná"
"140","3555567955507382.zip","Fabio Lopes Olivares",2016,NA,"Pesquisa Agropecuária Tropical (Online)"
"141","3555567955507382.zip","Fabio Lopes Olivares",2016,NA,"Journal of the Science of Food and Agriculture (Online)"
"142","3555567955507382.zip","Fabio Lopes Olivares",2016,NA,"Microbiological Research (Print)"
"143","3555567955507382.zip","Fabio Lopes Olivares",2017,NA,"Biotechnology Research and Innovation"
"144","3555567955507382.zip","Fabio Lopes Olivares",2016,NA,"ARCHIVES IN MICROBIOLOGY"
"145","3555567955507382.zip","Fabio Lopes Olivares",2014,NA,"ACTA AMAZONICA"
"146","3555567955507382.zip","Fabio Lopes Olivares",2018,NA,"PeerJ"
"147","3914738658851006.zip","Elvio Giasson",1994,NA,"Universidade Federal do Rio Grande do Sul"
"148","3914738658851006.zip","Elvio Giasson",1991,1993,"Universidade do Estado de Santa Catarina"
"149","3914738658851006.zip","Elvio Giasson",1994,1994,"Universidade de Caxias do Sul"
"150","3914738658851006.zip","Elvio Giasson",2002,NA,"Ciência Rural"
"151","3914738658851006.zip","Elvio Giasson",2002,NA,"Revista Brasileira de Ciência do Solo"
"152","3914738658851006.zip","Elvio Giasson",2005,NA,"Ciência Agrícola"
"153","3914738658851006.zip","Elvio Giasson",2005,NA,"Brasil Florestal"
"154","3914738658851006.zip","Elvio Giasson",2008,NA,"Scientia Forestalis (IPEF)"
"155","3914738658851006.zip","Elvio Giasson",2011,NA,"Pesquisa Agropecuária Brasileira (Online)"
"156","3914738658851006.zip","Elvio Giasson",2011,NA,"Revista Brasileira de Engenharia Agrícola e Ambiental (Online)"
"157","3914738658851006.zip","Elvio Giasson",2011,NA,"Acta Amazonica (Impresso)"
"158","3914738658851006.zip","Elvio Giasson",2013,NA,"Revista Brasileira de Ciência do Solo (Impresso)"
"159","3914738658851006.zip","Elvio Giasson",2009,NA,"Fundação de Amparo à Pesquisa do Estado de São Paulo"
"160","3914738658851006.zip","Elvio Giasson",2011,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"161","3914738658851006.zip","Elvio Giasson",2002,NA,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior"
"162","3914738658851006.zip","Elvio Giasson",2009,NA,"Empresa Brasileira de Pesquisa Agropecuária"
"163","3914738658851006.zip","Elvio Giasson",2014,NA,"Geoderma Regional"
"164","3914738658851006.zip","Elvio Giasson",2014,NA,"Geoderma Regional"
"165","4500797890789377.zip","Luc Felicianus Marie Rouws",2001,2002,"Agricultural University - Wageningen"
"166","4500797890789377.zip","Luc Felicianus Marie Rouws",2000,2000,"Universidade Federal de Lavras"
"167","4500797890789377.zip","Luc Felicianus Marie Rouws",2002,2007,"Empresa Brasileira de Pesquisa Agropecuária"
"168","4500797890789377.zip","Luc Felicianus Marie Rouws",2011,2011,"Plant and Soil (Print)"
"169","4500797890789377.zip","Luc Felicianus Marie Rouws",2011,2011,"Brazilian Journal of Medical and Biological Research (Impresso)"
"170","4500797890789377.zip","Luc Felicianus Marie Rouws",2013,2013,"Plant and Soil (Dordrecht. Online)"
"171","4500797890789377.zip","Luc Felicianus Marie Rouws",2015,NA,"Journal of Basic Microbiology"
"172","4500797890789377.zip","Luc Felicianus Marie Rouws",2015,NA,"Scientia Agricola (USP. Impresso)"
"173","4500797890789377.zip","Luc Felicianus Marie Rouws",2015,NA,"Plant and Soil (Dordrecht. Online)"
"174","4500797890789377.zip","Luc Felicianus Marie Rouws",2016,NA,"Functional Plant Biology (Print)"
"175","4500797890789377.zip","Luc Felicianus Marie Rouws",2017,2017,"Applied Soil Ecology (Print)"
"176","4500797890789377.zip","Luc Felicianus Marie Rouws",2016,2016,"Revista Brasileira de Ciência do Solo"
"177","4500797890789377.zip","Luc Felicianus Marie Rouws",2017,2017,"Rhizosphere (ISSN: 2452-2198)"
"178","4500797890789377.zip","Luc Felicianus Marie Rouws",2017,2017,"Brazilian Journal of Microbiology"
"179","4500797890789377.zip","Luc Felicianus Marie Rouws",2017,2017,"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES"
"180","4500797890789377.zip","Luc Felicianus Marie Rouws",2018,NA,"BRAZILIAN JOURNAL OF MICROBIOLOGY"
"181","4500797890789377.zip","Luc Felicianus Marie Rouws",2018,NA,"Tropical Plant Pathology"
"182","4500797890789377.zip","Luc Felicianus Marie Rouws",2018,NA,"Frontiers in Microbiology"
"183","4500797890789377.zip","Luc Felicianus Marie Rouws",2015,NA,"Universidade Federal Rural do Rio de Janeiro"
"184","4500797890789377.zip","Luc Felicianus Marie Rouws",2019,NA,"The ISME Journal"
"185","4500797890789377.zip","Luc Felicianus Marie Rouws",2018,NA,"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"186","4500797890789377.zip","Luc Felicianus Marie Rouws",2020,NA,"BMC BIOLOGY"
"187","4525265173613927.zip","Paulo Roberto Cecon",1980,NA,"Universidade Federal de Viçosa"
"188","4525265173613927.zip","Paulo Roberto Cecon",2012,2012,"Horticultura Brasileira (Impresso)"
"189","4525265173613927.zip","Paulo Roberto Cecon",2011,NA,"Revista Brasileira de Fruticultura"
"190","4525265173613927.zip","Paulo Roberto Cecon",2009,NA,"Revista Ceres"
"191","4525265173613927.zip","Paulo Roberto Cecon",2011,NA,"Ciência Rural (UFSM. Impresso)"
"192","4525265173613927.zip","Paulo Roberto Cecon",2014,NA,"Fundação Araucária de Apoio ao Desenvolvimento Científico e Tecnológico"
"193","4525265173613927.zip","Paulo Roberto Cecon",2015,NA,"Revista Brasileira de Fruticultura (Impresso)"
"194","5065299168599484.zip","Alexandre Bosco de Oliveira",2006,2008,"Universidade Federal do Ceará"
"195","5065299168599484.zip","Alexandre Bosco de Oliveira",2005,2005,"Escola Estadual de Ensino Fundamental e Médio Júlia Alves Pessoa"
"196","5065299168599484.zip","Alexandre Bosco de Oliveira",2007,2007,"Universidade Estadual Vale do Acaraú"
"197","5065299168599484.zip","Alexandre Bosco de Oliveira",2009,2010,"Universidade Estadual do Piauí"
"198","5065299168599484.zip","Alexandre Bosco de Oliveira",2012,2012,"Universidade Federal da Paraíba"
"199","5065299168599484.zip","Alexandre Bosco de Oliveira",2016,NA,"University of Florida"
"200","5065299168599484.zip","Alexandre Bosco de Oliveira",2017,NA,"Nativa"
"201","5065299168599484.zip","Alexandre Bosco de Oliveira",2017,NA,"Revista Ciência Agronômica"
"202","5065299168599484.zip","Alexandre Bosco de Oliveira",2018,NA,"Advances in Plants & Agriculture Research"
"203","5065299168599484.zip","Alexandre Bosco de Oliveira",2018,NA,"African Journal of Plant Science"
"204","5065299168599484.zip","Alexandre Bosco de Oliveira",2017,NA,"Cambridge Scholars Publishing"
"205","5065299168599484.zip","Alexandre Bosco de Oliveira",2010,NA,"Pesquisa Agropecuaria Tropical (Online)"
"206","5065299168599484.zip","Alexandre Bosco de Oliveira",2010,NA,"AFRICAN JOURNAL OF AGRICULTURAL RESEARCH"
"207","5065299168599484.zip","Alexandre Bosco de Oliveira",2010,NA,"Journal of New Seeds"
"208","5065299168599484.zip","Alexandre Bosco de Oliveira",2010,NA,"Revista Ciencia Agronomica"
"209","5065299168599484.zip","Alexandre Bosco de Oliveira",2010,NA,"ACTA AMAZONICA"
"210","5065299168599484.zip","Alexandre Bosco de Oliveira",2010,NA,"CIENCIA RURAL"
"211","5065299168599484.zip","Alexandre Bosco de Oliveira",2010,NA,"SEMINA. CIÊNCIAS AGRÁRIAS (ONLINE)"
"212","5065299168599484.zip","Alexandre Bosco de Oliveira",2011,NA,"AGRICULTURAL SCIENCE RESEARCH JOURNAL"
"213","5065299168599484.zip","Alexandre Bosco de Oliveira",2014,NA,"Theoretical and Experimental Plant Physiology"
"214","5065299168599484.zip","Alexandre Bosco de Oliveira",2016,NA,"AUSTRALIAN JOURNAL OF CROP SCIENCE (ONLINE)"
"215","5065299168599484.zip","Alexandre Bosco de Oliveira",2017,NA,"PLANTA DANINHA"
