Nome do Programa,Código do Programa,Nome da IES,Sigla da IES,UF,ME,DO,MP,DP,Av.Capes
AQUICULTURA,41001010019P2,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC,6,6,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
AQUICULTURA,12006017003P5,UNIVERSIDADE NILTON LINS,UNINILTON,AM,3,3,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
AQÜICULTURA,42004012011P0,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS,6,6,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
AQÜICULTURA,33004102049P7,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, JABOTICABAL",UNESP-JAB,SP,5,5,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
Aquicultura e Desenvolvimento Sustentável,40001016078P2,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
AQUICULTURA E PESCA,33132011001P9,INSTITUTO DE PESCA - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,IP-APTA,SP,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
Aquicultura e Recursos Aquáticos Tropicais,15002012005P0,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,PA,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIENCIA ANIMAL,28022017004P4,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,BA,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA ANIMAL,32016018001P0,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,MG,3,3,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA ANIMAL,31033016008P7,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,RJ,4,4,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA ANIMAL,25020013002P0,UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,PE,4,4,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA ANIMAL,21001014002P2,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FUFPI,PI,3,3,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA ANIMAL,15001016028P4,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA,4,4,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA ANIMAL,12001015066P5,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA ANIMAL,51001012013P9,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MS,4,4,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA ANIMAL,50001019014P2,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT,4,4,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
Ciência Animal,20001010026P6,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
Ciência Animal,24009016013P3,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA ANIMAL E PASTAGENS,33002037013P5,ESCOLA SUPERIOR DE AGRICULTURA LUIZ DE QUEIROZ - USP,USP-ESALQ,SP,7,7,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
Ciência Animal e Pastagens,25003011027P9,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA ANIMAL TROPICAL,16003012002P0,UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,TO,4,4,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
Ciência e Tecnologia Animal,33004099086P8,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, ILHA SOLTEIRA",UNESP-IS,SP,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIA E TECNOLOGIA DA PRODUÇÃO ANIMAL ,32004010049P2,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG,-,-,A,-,ZOOTECNIA / RECURSOS PESQUEIROS
CIÊNCIAS PESQUEIRAS NOS TRÓPICOS,12001015025P7,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,AM,3,3,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
DESENVOLVIMENTO RURAL SUSTENTÁVEL,52012018010P0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,GO,-,-,3,-,ZOOTECNIA / RECURSOS PESQUEIROS
ENGENHARIA DE PESCA,22001018020P3,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE,4,4,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
GENÉTICA E MELHORAMENTO ANIMAL,33004102030P4,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, JABOTICABAL",UNESP-JAB,SP,6,6,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
NUTRIÇÃO E PRODUÇÃO ANIMAL,33002010098P0,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
NUTRIÇÃO E PRODUÇÃO ANIMAL,32044011002P0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS",IFSUDESTEMG,MG,-,-,3,-,ZOOTECNIA / RECURSOS PESQUEIROS
PRODUÇÃO ANIMAL,23001011050P2,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,RN,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
PRODUÇÃO ANIMAL,33056013012P2,UNIVERSIDADE BRASIL,UNIVBRASIL,SP,-,-,3,-,ZOOTECNIA / RECURSOS PESQUEIROS
Produção Animal,32001010098P0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG,4,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
PRODUÇÃO ANIMAL NA AMAZÔNIA,15002012009P6,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,PA,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
PRODUÇÃO ANIMAL SUSTENTÁVEL,33148015001P9,INSTITUTO DE ZOOTECNIA IZ - SAA,IZ-APTA,SP,4,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
RECURSOS PESQUEIROS E AQUICULTURA,25003011011P5,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE,5,5,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
RECURSOS PESQUEIROS E ENGENHARIA DE PESCA,40015017011P2,UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,UNIOESTE,PR,4,4,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
ZOOTECNIA,32014015005P3,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG,3,-,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
ZOOTECNIA,33002010165P9,UNIVERSIDADE DE SÃO PAULO,USP,SP,5,5,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
ZOOTECNIA,33004064048P2,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, BOTUCATU",UNESP-BOT,SP,6,6,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
ZOOTECNIA,33004102002P0,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO, JABOTICABAL",UNESP-JAB,SP,7,7,-,-,ZOOTECNIA / RECURSOS PESQUEIROS
